"gene.symble","TPM"
"NPBWR2",0
"BHLHE23",0
"IL1B",0
"DEFB126",0
"CD93",0
"PAX1",0
"NKX2-4",0
"NKX2-2",0
"CST11",0
"TCF15",0
"SIRPD",0
"DEFB129",0
"C20orf173",0
"FFAR1",0
"KRT36",0
"CSN1S1",0
"STATH",0
"SSX1",0
"EVI2A",0
"CTAG2",0
"ARMCX1",0
"NXF5",0
"RGS13",0
"IL22",0
"TAS2R3",0
"TAS2R4",0
"OR7A10",0
"SLC35E1",0
"OR7C2",0
"OR7C1",0
"F2RL3",0
"UQCR11",0
"GNG13",0
"OR1E2",0
"GNG11",0
"STEAP4",0
"SPINK2",0
"RASL11B",0
"RFPL1",0
"ADORA2A",0
"RFPL3",0
"IGLL1",0
"APOBEC3A",0
"KRT17",0
"RNF112",0
"TAS2R16",0
"LRRC4",0
"FEZF1",0
"OPN1SW",0
"HOXD3",0
"HOXD9",0
"HOXD11",0
"HOXD13",0
"GDF2",0
"ELL3",0
"ISLR",0
"MYOD1",0
"CCL4",0
"SIGLEC9",0
"KLK8",0
"RIPK3",0
"DTD2",0
"MAP7D3",0
"VCY1B",0
"VCY",0
"CDY2B",0
"PRRG3",0
"KCNA5",0
"GDF1",0
"MAS1",0
"FUT5",0
"BMP15",0
"OR11H1",0
"SAMD10",0
"HBZ",0
"PPAN",0
"PRRG1",0
"ULBP2",0
"LILRB2",0
"BPIFA2",0
"DEFB118",0
"C1QL1",0
"HIGD1B",0
"GJA9",0
"CDX4",0
"ANKHD1",0
"BARX1",0
"CA6",0
"RHOXF2",0
"FSHB",0
"ZNF132",0
"USP29",0
"RTBDN",0
"LHX1",0
"SLX1A",0
"TIMM10B",0
"SCLY",0
"FTHL17",0
"ANKRD20A3",0
"SCP2D1",0
"SSTR4",0
"DAP3",0
"CRP",0
"HAPLN2",0
"FCRL2",0
"SYT4",0
"NMUR2",0
"CCNA1",0
"RXFP2",0
"POSTN",0
"IRS4",0
"TEX13A",0
"PRAM1",0
"LGALS12",0
"GIMAP6",0
"GIMAP4",0
"GSC",0
"ADAM20",0
"ADAMDEC1",0
"IER3IP1",0
"CD180",0
"GSTM1",0
"ADAM30",0
"FKBP11",0
"SAA2",0
"CFHR4",0
"RAX",0
"KLRC1",0
"SOX3",0
"MTNR1B",0
"DSG3",0
"DSC1",0
"APLNR",0
"TCN1",0
"ACRV1",0
"CSN2",0
"HILPDA",0
"HTR1B",0
"GJA10",0
"LMO2",0
"LACRT",0
"TESPA1",0
"RDH5",0
"BLOC1S1",0
"HNRNPA1",0
"TAAR5",0
"CHST5",0
"GPR45",0
"PCDH8",0
"SPDYE1",0
"KDELR2",0
"NKX2-8",0
"NKX2-1",0
"GH2",0
"CSH1",0
"IL10",0
"IL36A",0
"IL36RN",0
"IL1F10",0
"CFC1",0
"OR1J1",0
"OR13C9",0
"OR1L4",0
"CCL21",0
"IFNA21",0
"FGFBP1",0
"MMP27",0
"FXYD6",0
"MMP13",0
"GCOM1",0
"DNASE2B",0
"SIX3",0
"CH25H",0
"CHRNA1",0
"CCDC54",0
"PCDH10",0
"FGF5",0
"IL21",0
"TRPC3",0
"CXCL9",0
"NDUFA9",0
"ANP32D",0
"LUM",0
"KERA",0
"GPR84",0
"NPFF",0
"SMARCC2",0
"KRT71",0
"SMIM2",0
"METTL21C",0
"RNF113B",0
"MDGA2",0
"EFCAB11",0
"GPR65",0
"GOLGA6D",0
"CELF6",0
"LMAN1L",0
"CHST4",0
"TIGD7",0
"ZNF287",0
"MYOCD",0
"OR4D1",0
"KIF2B",0
"ADCYAP1",0
"ZNF750",0
"ELAC1",0
"SLC39A3",0
"ZIM3",0
"TMEM91",0
"GPR32",0
"KLK3",0
"PTH2",0
"FCN3",0
"MOB3C",0
"DMRTB1",0
"KCNA10",0
"CD53",0
"GJA5",0
"RGS16",0
"LHX9",0
"FLG2",0
"CRNN",0
"S100A8",0
"S100A7",0
"PYCR2",0
"PTPN7",0
"CALM2",0
"REG3G",0
"TRIM43",0
"TEX261",0
"THNSL2",0
"C1QL2",0
"LIPT1",0
"GPR17",0
"PHOSPHO2",0
"ZNF660",0
"TM4SF19",0
"ECE2",0
"VWA5B2",0
"CABS1",0
"DDIT4L",0
"SFRP2",0
"UGT3A1",0
"CRHBP",0
"TSLP",0
"CXCL14",0
"IL9",0
"SPINK7",0
"KCNMB1",0
"FAM50B",0
"LRRTM2",0
"HIGD2A",0
"PRSS35",0
"GPR6",0
"RSPO3",0
"TAAR2",0
"TAAR1",0
"RBAK",0
"FERD3L",0
"ASB10",0
"NLGN4X",0
"TMEM47",0
"LANCL3",0
"SYTL5",0
"ZNF157",0
"RAB41",0
"GPR174",0
"LPAR4",0
"AWAT2",0
"RIPPLY1",0
"FATE1",0
"OPN1MW",0
"MAGEA4",0
"GABRQ",0
"DOK2",0
"CRH",0
"PMP2",0
"GSDMC",0
"IFNA5",0
"IFNA16",0
"IFNK",0
"SPATA31A3",0
"OR13C4",0
"OR5C1",0
"GBGT1",0
"IDI2",0
"LCN9",0
"TMEM236",0
"VAX1",0
"NKX6-2",0
"SLC5A12",0
"OR5F1",0
