IndelType_476_full,indel_type,Indel_subtype,Figlabel,,
C[Ins(T):R2]G,Insertion,Ins(T),C[Ins(T):R2]G,,TRUE
C[Ins(T):R3]A,Insertion,Ins(T),C[Ins(T):R3]A,,TRUE
C[Ins(T):R3]C,Insertion,Ins(T),C[Ins(T):R3]C,,TRUE
C[Ins(T):R3]G,Insertion,Ins(T),C[Ins(T):R3]G,,TRUE
C[Ins(T):R4]A,Insertion,Ins(T),C[Ins(T):R4]A,,TRUE
C[Ins(T):R4]C,Insertion,Ins(T),C[Ins(T):R4]C,,TRUE
C[Ins(T):R4]G,Insertion,Ins(T),C[Ins(T):R4]G,,TRUE
C[Ins(T):R5]A,Insertion,Ins(T),C[Ins(T):R5]A,,TRUE
C[Ins(T):R5]C,Insertion,Ins(T),C[Ins(T):R5]C,,TRUE
C[Ins(T):R5]G,Insertion,Ins(T),C[Ins(T):R5]G,,TRUE
C[Ins(T):R6]A,Insertion,Ins(T),C[Ins(T):R6]A,,TRUE
C[Ins(T):R6]C,Insertion,Ins(T),C[Ins(T):R6]C,,TRUE
C[Ins(T):R6]G,Insertion,Ins(T),C[Ins(T):R6]G,,TRUE
C[Ins(T):R7]A,Insertion,Ins(T),C[Ins(T):R7]A,,TRUE
C[Ins(T):R7]C,Insertion,Ins(T),C[Ins(T):R7]C,,TRUE
C[Ins(T):R7]G,Insertion,Ins(T),C[Ins(T):R7]G,,TRUE
C[Ins(T):R8]A,Insertion,Ins(T),C[Ins(T):R8]A,,TRUE
C[Ins(T):R8]C,Insertion,Ins(T),C[Ins(T):R8]C,,TRUE
C[Ins(T):R8]G,Insertion,Ins(T),C[Ins(T):R8]G,,TRUE
C[Ins(T):R9]A,Insertion,Ins(T),C[Ins(T):R9]A,,TRUE
C[Ins(T):R9]C,Insertion,Ins(T),C[Ins(T):R9]C,,TRUE
C[Ins(T):R9]G,Insertion,Ins(T),C[Ins(T):R9]G,,TRUE
G[Ins(T):R0]A,Insertion,Ins(T),G[Ins(T):R0]A,,TRUE
G[Ins(T):R0]C,Insertion,Ins(T),G[Ins(T):R0]C,,TRUE
G[Ins(T):R0]G,Insertion,Ins(T),G[Ins(T):R0]G,,TRUE
G[Ins(T):R1]A,Insertion,Ins(T),G[Ins(T):R1]A,,TRUE
G[Ins(T):R1]C,Insertion,Ins(T),G[Ins(T):R1]C,,TRUE
G[Ins(T):R1]G,Insertion,Ins(T),G[Ins(T):R1]G,,TRUE
G[Ins(T):R2]A,Insertion,Ins(T),G[Ins(T):R2]A,,TRUE
G[Ins(T):R2]C,Insertion,Ins(T),G[Ins(T):R2]C,,TRUE
G[Ins(T):R2]G,Insertion,Ins(T),G[Ins(T):R2]G,,TRUE
G[Ins(T):R3]A,Insertion,Ins(T),G[Ins(T):R3]A,,TRUE
G[Ins(T):R3]C,Insertion,Ins(T),G[Ins(T):R3]C,,TRUE
G[Ins(T):R3]G,Insertion,Ins(T),G[Ins(T):R3]G,,TRUE
G[Ins(T):R4]A,Insertion,Ins(T),G[Ins(T):R4]A,,TRUE
G[Ins(T):R4]C,Insertion,Ins(T),G[Ins(T):R4]C,,TRUE
G[Ins(T):R4]G,Insertion,Ins(T),G[Ins(T):R4]G,,TRUE
G[Ins(T):R5]A,Insertion,Ins(T),G[Ins(T):R5]A,,TRUE
G[Ins(T):R5]C,Insertion,Ins(T),G[Ins(T):R5]C,,TRUE
G[Ins(T):R5]G,Insertion,Ins(T),G[Ins(T):R5]G,,TRUE
G[Ins(T):R6]A,Insertion,Ins(T),G[Ins(T):R6]A,,TRUE
G[Ins(T):R6]C,Insertion,Ins(T),G[Ins(T):R6]C,,TRUE
G[Ins(T):R6]G,Insertion,Ins(T),G[Ins(T):R6]G,,TRUE
G[Ins(T):R7]A,Insertion,Ins(T),G[Ins(T):R7]A,,TRUE
G[Ins(T):R7]C,Insertion,Ins(T),G[Ins(T):R7]C,,TRUE
G[Ins(T):R7]G,Insertion,Ins(T),G[Ins(T):R7]G,,TRUE
G[Ins(T):R8]A,Insertion,Ins(T),G[Ins(T):R8]A,,TRUE
G[Ins(T):R8]C,Insertion,Ins(T),G[Ins(T):R8]C,,TRUE
G[Ins(T):R8]G,Insertion,Ins(T),G[Ins(T):R8]G,,TRUE
G[Ins(T):R9]A,Insertion,Ins(T),G[Ins(T):R9]A,,TRUE
G[Ins(T):R9]C,Insertion,Ins(T),G[Ins(T):R9]C,,TRUE
G[Ins(T):R9]G,Insertion,Ins(T),G[Ins(T):R9]G,,TRUE
"Ins(2,4):M",Insertion,"Ins(2,):R(0,9)","Ins(2,4):M",,TRUE
"Ins(5,):M",Insertion,"Ins(2,):R(0,9)","Ins(5,):M",,TRUE
Ins2:U1:R0,Insertion,"Ins(2,):R(0,9)",Ins2:U1:R0,,TRUE
Ins3:U1:R0,Insertion,"Ins(2,):R(0,9)",Ins3:U1:R0,,TRUE
Ins4:U1:R0,Insertion,"Ins(2,):R(0,9)",Ins4:U1:R0,,TRUE
Ins2:U2:R0,Insertion,"Ins(2,):R(0,9)",Ins2:U2:R0,,TRUE
Ins3:U3:R0,Insertion,"Ins(2,):R(0,9)",Ins3:U3:R0,,TRUE
Ins4:U2:R0,Insertion,"Ins(2,):R(0,9)",Ins4:U2:R0,,TRUE
Ins4:U4:R0,Insertion,"Ins(2,):R(0,9)",Ins4:U4:R0,,TRUE
"Ins(5,):R0",Insertion,"Ins(2,):R(0,9)","Ins(5,):R0",,TRUE
Ins2:U1:R1,Insertion,"Ins(2,):R(0,9)",Ins2:U1:R1,,TRUE
Ins2:U1:R2,Insertion,"Ins(2,):R(0,9)",Ins2:U1:R2,,TRUE
Ins2:U1:R3,Insertion,"Ins(2,):R(0,9)",Ins2:U1:R3,,TRUE
Ins2:U1:R4,Insertion,"Ins(2,):R(0,9)",Ins2:U1:R4,,TRUE
"Ins2:U1:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins2:U1:R(5,9)",,TRUE
Ins2:U2:R1,Insertion,"Ins(2,):R(0,9)",Ins2:U2:R1,,TRUE
Ins2:U2:R2,Insertion,"Ins(2,):R(0,9)",Ins2:U2:R2,,TRUE
Ins2:U2:R3,Insertion,"Ins(2,):R(0,9)",Ins2:U2:R3,,TRUE
Ins2:U2:R4,Insertion,"Ins(2,):R(0,9)",Ins2:U2:R4,,TRUE
"Ins2:U2:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins2:U2:R(5,9)",,TRUE
Ins3:U1:R1,Insertion,"Ins(2,):R(0,9)",Ins3:U1:R1,,TRUE
Ins3:U1:R2,Insertion,"Ins(2,):R(0,9)",Ins3:U1:R2,,TRUE
Ins3:U1:R3,Insertion,"Ins(2,):R(0,9)",Ins3:U1:R3,,TRUE
Ins3:U1:R4,Insertion,"Ins(2,):R(0,9)",Ins3:U1:R4,,TRUE
"Ins3:U1:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins3:U1:R(5,9)",,TRUE
Ins3:U3:R1,Insertion,"Ins(2,):R(0,9)",Ins3:U3:R1,,TRUE
Ins3:U3:R2,Insertion,"Ins(2,):R(0,9)",Ins3:U3:R2,,TRUE
Ins3:U3:R3,Insertion,"Ins(2,):R(0,9)",Ins3:U3:R3,,TRUE
Ins3:U3:R4,Insertion,"Ins(2,):R(0,9)",Ins3:U3:R4,,TRUE
"Ins3:U3:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins3:U3:R(5,9)",,TRUE
Ins4:U1:R1,Insertion,"Ins(2,):R(0,9)",Ins4:U1:R1,,TRUE
Ins4:U1:R2,Insertion,"Ins(2,):R(0,9)",Ins4:U1:R2,,TRUE
Ins4:U1:R3,Insertion,"Ins(2,):R(0,9)",Ins4:U1:R3,,TRUE
Ins4:U1:R4,Insertion,"Ins(2,):R(0,9)",Ins4:U1:R4,,TRUE
"Ins4:U1:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins4:U1:R(5,9)",,TRUE
Ins4:U2:R1,Insertion,"Ins(2,):R(0,9)",Ins4:U2:R1,,TRUE
Ins4:U2:R2,Insertion,"Ins(2,):R(0,9)",Ins4:U2:R2,,TRUE
Ins4:U2:R3,Insertion,"Ins(2,):R(0,9)",Ins4:U2:R3,,TRUE
Ins4:U2:R4,Insertion,"Ins(2,):R(0,9)",Ins4:U2:R4,,TRUE
"Ins4:U2:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins4:U2:R(5,9)",,TRUE
Ins4:U4:R1,Insertion,"Ins(2,):R(0,9)",Ins4:U4:R1,,TRUE
Ins4:U4:R2,Insertion,"Ins(2,):R(0,9)",Ins4:U4:R2,,TRUE
Ins4:U4:R3,Insertion,"Ins(2,):R(0,9)",Ins4:U4:R3,,TRUE
Ins4:U4:R4,Insertion,"Ins(2,):R(0,9)",Ins4:U4:R4,,TRUE
"Ins4:U4:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins4:U4:R(5,9)",,TRUE
"Ins(5,):U1:R1",Insertion,"Ins(2,):R(0,9)","Ins(5,):U1:R1",,TRUE
"Ins(5,):U1:R2",Insertion,"Ins(2,):R(0,9)","Ins(5,):U1:R2",,TRUE
"Ins(5,):U1:R3",Insertion,"Ins(2,):R(0,9)","Ins(5,):U1:R3",,TRUE
"Ins(5,):U1:R4",Insertion,"Ins(2,):R(0,9)","Ins(5,):U1:R4",,TRUE
"Ins(5,):U1:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins(5,):U1:R(5,9)",,TRUE
"Ins(5,):U2:R1",Insertion,"Ins(2,):R(0,9)","Ins(5,):U2:R1",,TRUE
"Ins(5,):U2:R2",Insertion,"Ins(2,):R(0,9)","Ins(5,):U2:R2",,TRUE
"Ins(5,):U2:R3",Insertion,"Ins(2,):R(0,9)","Ins(5,):U2:R3",,TRUE
"Ins(5,):U2:R4",Insertion,"Ins(2,):R(0,9)","Ins(5,):U2:R4",,TRUE
"Ins(5,):U2:R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins(5,):U2:R(5,9)",,TRUE
"Ins(5,):U(3,):R1",Insertion,"Ins(2,):R(0,9)","Ins(5,):U(3,):R1",,TRUE
"Ins(5,):U(3,):R2",Insertion,"Ins(2,):R(0,9)","Ins(5,):U(3,):R2",,TRUE
"Ins(5,):U(3,):R3",Insertion,"Ins(2,):R(0,9)","Ins(5,):U(3,):R3",,TRUE
"Ins(5,):U(3,):R4",Insertion,"Ins(2,):R(0,9)","Ins(5,):U(3,):R4",,TRUE
"Ins(5,):U(3,):R(5,9)",Insertion,"Ins(2,):R(0,9)","Ins(5,):U(3,):R(5,9)",,TRUE
A[Del(C):R1]A,Deletion,Del(C),A[Del(C):R1]A,,TRUE
A[Del(C):R1]G,Deletion,Del(C),A[Del(C):R1]G,,TRUE
A[Del(C):R1]T,Deletion,Del(C),A[Del(C):R1]T,,TRUE
A[Del(C):R2]A,Deletion,Del(C),A[Del(C):R2]A,,TRUE
A[Del(C):R2]G,Deletion,Del(C),A[Del(C):R2]G,,TRUE
A[Del(C):R2]T,Deletion,Del(C),A[Del(C):R2]T,,TRUE
A[Del(C):R3]A,Deletion,Del(C),A[Del(C):R3]A,,TRUE
A[Del(C):R3]G,Deletion,Del(C),A[Del(C):R3]G,,TRUE
A[Del(C):R3]T,Deletion,Del(C),A[Del(C):R3]T,,TRUE
A[Del(C):R4]A,Deletion,Del(C),A[Del(C):R4]A,,TRUE
A[Del(C):R4]G,Deletion,Del(C),A[Del(C):R4]G,,TRUE
A[Del(C):R4]T,Deletion,Del(C),A[Del(C):R4]T,,TRUE
A[Del(C):R5]A,Deletion,Del(C),A[Del(C):R5]A,,TRUE
A[Del(C):R5]G,Deletion,Del(C),A[Del(C):R5]G,,TRUE
A[Del(C):R5]T,Deletion,Del(C),A[Del(C):R5]T,,TRUE
A[Del(C):R6]A,Deletion,Del(C),A[Del(C):R6]A,,TRUE
A[Del(C):R6]G,Deletion,Del(C),A[Del(C):R6]G,,TRUE
A[Del(C):R6]T,Deletion,Del(C),A[Del(C):R6]T,,TRUE
A[Del(C):R7]A,Deletion,Del(C),A[Del(C):R7]A,,TRUE
A[Del(C):R7]G,Deletion,Del(C),A[Del(C):R7]G,,TRUE
A[Del(C):R7]T,Deletion,Del(C),A[Del(C):R7]T,,TRUE
A[Del(C):R8]A,Deletion,Del(C),A[Del(C):R8]A,,TRUE
A[Del(C):R8]G,Deletion,Del(C),A[Del(C):R8]G,,TRUE
A[Del(C):R8]T,Deletion,Del(C),A[Del(C):R8]T,,TRUE
A[Del(C):R9]A,Deletion,Del(C),A[Del(C):R9]A,,TRUE
A[Del(C):R9]G,Deletion,Del(C),A[Del(C):R9]G,,TRUE
A[Del(C):R9]T,Deletion,Del(C),A[Del(C):R9]T,,TRUE
G[Del(C):R1]A,Deletion,Del(C),G[Del(C):R1]A,,TRUE
G[Del(C):R1]G,Deletion,Del(C),G[Del(C):R1]G,,TRUE
G[Del(C):R1]T,Deletion,Del(C),G[Del(C):R1]T,,TRUE
G[Del(C):R2]A,Deletion,Del(C),G[Del(C):R2]A,,TRUE
G[Del(C):R2]G,Deletion,Del(C),G[Del(C):R2]G,,TRUE
G[Del(C):R2]T,Deletion,Del(C),G[Del(C):R2]T,,TRUE
G[Del(C):R3]A,Deletion,Del(C),G[Del(C):R3]A,,TRUE
G[Del(C):R3]G,Deletion,Del(C),G[Del(C):R3]G,,TRUE
G[Del(C):R3]T,Deletion,Del(C),G[Del(C):R3]T,,TRUE
G[Del(C):R4]A,Deletion,Del(C),G[Del(C):R4]A,,TRUE
G[Del(C):R4]G,Deletion,Del(C),G[Del(C):R4]G,,TRUE
G[Del(C):R4]T,Deletion,Del(C),G[Del(C):R4]T,,TRUE
G[Del(C):R5]A,Deletion,Del(C),G[Del(C):R5]A,,TRUE
G[Del(C):R5]G,Deletion,Del(C),G[Del(C):R5]G,,TRUE
G[Del(C):R5]T,Deletion,Del(C),G[Del(C):R5]T,,TRUE
G[Del(C):R6]A,Deletion,Del(C),G[Del(C):R6]A,,TRUE
G[Del(C):R6]G,Deletion,Del(C),G[Del(C):R6]G,,TRUE
G[Del(C):R6]T,Deletion,Del(C),G[Del(C):R6]T,,TRUE
G[Del(C):R7]A,Deletion,Del(C),G[Del(C):R7]A,,TRUE
G[Del(C):R7]G,Deletion,Del(C),G[Del(C):R7]G,,TRUE
G[Del(C):R7]T,Deletion,Del(C),G[Del(C):R7]T,,TRUE
G[Del(C):R8]A,Deletion,Del(C),G[Del(C):R8]A,,TRUE
G[Del(C):R8]G,Deletion,Del(C),G[Del(C):R8]G,,TRUE
G[Del(C):R8]T,Deletion,Del(C),G[Del(C):R8]T,,TRUE
G[Del(C):R9]A,Deletion,Del(C),G[Del(C):R9]A,,TRUE
G[Del(C):R9]G,Deletion,Del(C),G[Del(C):R9]G,,TRUE
G[Del(C):R9]T,Deletion,Del(C),G[Del(C):R9]T,,TRUE
T[Del(C):R1]A,Deletion,Del(C),T[Del(C):R1]A,,TRUE
T[Del(C):R1]G,Deletion,Del(C),T[Del(C):R1]G,,TRUE
T[Del(C):R1]T,Deletion,Del(C),T[Del(C):R1]T,,TRUE
T[Del(C):R2]A,Deletion,Del(C),T[Del(C):R2]A,,TRUE
T[Del(C):R2]G,Deletion,Del(C),T[Del(C):R2]G,,TRUE
T[Del(C):R2]T,Deletion,Del(C),T[Del(C):R2]T,,TRUE
T[Del(C):R3]A,Deletion,Del(C),T[Del(C):R3]A,,TRUE
T[Del(C):R3]G,Deletion,Del(C),T[Del(C):R3]G,,TRUE
T[Del(C):R3]T,Deletion,Del(C),T[Del(C):R3]T,,TRUE
T[Del(C):R4]A,Deletion,Del(C),T[Del(C):R4]A,,TRUE
T[Del(C):R4]G,Deletion,Del(C),T[Del(C):R4]G,,TRUE
T[Del(C):R4]T,Deletion,Del(C),T[Del(C):R4]T,,TRUE
T[Del(C):R5]A,Deletion,Del(C),T[Del(C):R5]A,,TRUE
T[Del(C):R5]G,Deletion,Del(C),T[Del(C):R5]G,,TRUE
T[Del(C):R5]T,Deletion,Del(C),T[Del(C):R5]T,,TRUE
T[Del(C):R6]A,Deletion,Del(C),T[Del(C):R6]A,,TRUE
T[Del(C):R6]G,Deletion,Del(C),T[Del(C):R6]G,,TRUE
T[Del(C):R6]T,Deletion,Del(C),T[Del(C):R6]T,,TRUE
T[Del(C):R7]A,Deletion,Del(C),T[Del(C):R7]A,,TRUE
T[Del(C):R7]G,Deletion,Del(C),T[Del(C):R7]G,,TRUE
T[Del(C):R7]T,Deletion,Del(C),T[Del(C):R7]T,,TRUE
T[Del(C):R8]A,Deletion,Del(C),T[Del(C):R8]A,,TRUE
T[Del(C):R8]G,Deletion,Del(C),T[Del(C):R8]G,,TRUE
T[Del(C):R8]T,Deletion,Del(C),T[Del(C):R8]T,,TRUE
