IndelType_476_full,indel_type,Indel_subtype,Figlabel,,
A[Ins(C):R0]A,Insertion,Ins(C),A[Ins(C):R0]A,,TRUE
A[Ins(C):R0]G,Insertion,Ins(C),A[Ins(C):R0]G,,TRUE
A[Ins(C):R0]T,Insertion,Ins(C),A[Ins(C):R0]T,,TRUE
A[Ins(C):R1]A,Insertion,Ins(C),A[Ins(C):R1]A,,TRUE
A[Ins(C):R1]G,Insertion,Ins(C),A[Ins(C):R1]G,,TRUE
A[Ins(C):R1]T,Insertion,Ins(C),A[Ins(C):R1]T,,TRUE
A[Ins(C):R2]A,Insertion,Ins(C),A[Ins(C):R2]A,,TRUE
A[Ins(C):R2]G,Insertion,Ins(C),A[Ins(C):R2]G,,TRUE
A[Ins(C):R2]T,Insertion,Ins(C),A[Ins(C):R2]T,,TRUE
A[Ins(C):R3]A,Insertion,Ins(C),A[Ins(C):R3]A,,TRUE
A[Ins(C):R3]G,Insertion,Ins(C),A[Ins(C):R3]G,,TRUE
A[Ins(C):R3]T,Insertion,Ins(C),A[Ins(C):R3]T,,TRUE
A[Ins(C):R4]A,Insertion,Ins(C),A[Ins(C):R4]A,,TRUE
A[Ins(C):R4]G,Insertion,Ins(C),A[Ins(C):R4]G,,TRUE
A[Ins(C):R4]T,Insertion,Ins(C),A[Ins(C):R4]T,,TRUE
A[Ins(C):R5]A,Insertion,Ins(C),A[Ins(C):R5]A,,TRUE
A[Ins(C):R5]G,Insertion,Ins(C),A[Ins(C):R5]G,,TRUE
A[Ins(C):R5]T,Insertion,Ins(C),A[Ins(C):R5]T,,TRUE
A[Ins(C):R6]A,Insertion,Ins(C),A[Ins(C):R6]A,,TRUE
A[Ins(C):R6]G,Insertion,Ins(C),A[Ins(C):R6]G,,TRUE
A[Ins(C):R6]T,Insertion,Ins(C),A[Ins(C):R6]T,,TRUE
A[Ins(C):R7]A,Insertion,Ins(C),A[Ins(C):R7]A,,TRUE
A[Ins(C):R7]G,Insertion,Ins(C),A[Ins(C):R7]G,,TRUE
A[Ins(C):R7]T,Insertion,Ins(C),A[Ins(C):R7]T,,TRUE
A[Ins(C):R8]A,Insertion,Ins(C),A[Ins(C):R8]A,,TRUE
A[Ins(C):R8]G,Insertion,Ins(C),A[Ins(C):R8]G,,TRUE
A[Ins(C):R8]T,Insertion,Ins(C),A[Ins(C):R8]T,,TRUE
A[Ins(C):R9]A,Insertion,Ins(C),A[Ins(C):R9]A,,TRUE
A[Ins(C):R9]G,Insertion,Ins(C),A[Ins(C):R9]G,,TRUE
A[Ins(C):R9]T,Insertion,Ins(C),A[Ins(C):R9]T,,TRUE
G[Ins(C):R0]A,Insertion,Ins(C),G[Ins(C):R0]A,,TRUE
G[Ins(C):R0]G,Insertion,Ins(C),G[Ins(C):R0]G,,TRUE
G[Ins(C):R0]T,Insertion,Ins(C),G[Ins(C):R0]T,,TRUE
G[Ins(C):R1]A,Insertion,Ins(C),G[Ins(C):R1]A,,TRUE
G[Ins(C):R1]G,Insertion,Ins(C),G[Ins(C):R1]G,,TRUE
G[Ins(C):R1]T,Insertion,Ins(C),G[Ins(C):R1]T,,TRUE
G[Ins(C):R2]A,Insertion,Ins(C),G[Ins(C):R2]A,,TRUE
G[Ins(C):R2]G,Insertion,Ins(C),G[Ins(C):R2]G,,TRUE
G[Ins(C):R2]T,Insertion,Ins(C),G[Ins(C):R2]T,,TRUE
G[Ins(C):R3]A,Insertion,Ins(C),G[Ins(C):R3]A,,TRUE
G[Ins(C):R3]G,Insertion,Ins(C),G[Ins(C):R3]G,,TRUE
G[Ins(C):R3]T,Insertion,Ins(C),G[Ins(C):R3]T,,TRUE
G[Ins(C):R4]A,Insertion,Ins(C),G[Ins(C):R4]A,,TRUE
G[Ins(C):R4]G,Insertion,Ins(C),G[Ins(C):R4]G,,TRUE
G[Ins(C):R4]T,Insertion,Ins(C),G[Ins(C):R4]T,,TRUE
G[Ins(C):R5]A,Insertion,Ins(C),G[Ins(C):R5]A,,TRUE
G[Ins(C):R5]G,Insertion,Ins(C),G[Ins(C):R5]G,,TRUE
G[Ins(C):R5]T,Insertion,Ins(C),G[Ins(C):R5]T,,TRUE
G[Ins(C):R6]A,Insertion,Ins(C),G[Ins(C):R6]A,,TRUE
G[Ins(C):R6]G,Insertion,Ins(C),G[Ins(C):R6]G,,TRUE
G[Ins(C):R6]T,Insertion,Ins(C),G[Ins(C):R6]T,,TRUE
G[Ins(C):R7]A,Insertion,Ins(C),G[Ins(C):R7]A,,TRUE
G[Ins(C):R7]G,Insertion,Ins(C),G[Ins(C):R7]G,,TRUE
G[Ins(C):R7]T,Insertion,Ins(C),G[Ins(C):R7]T,,TRUE
G[Ins(C):R8]A,Insertion,Ins(C),G[Ins(C):R8]A,,TRUE
G[Ins(C):R8]G,Insertion,Ins(C),G[Ins(C):R8]G,,TRUE
G[Ins(C):R8]T,Insertion,Ins(C),G[Ins(C):R8]T,,TRUE
G[Ins(C):R9]A,Insertion,Ins(C),G[Ins(C):R9]A,,TRUE
G[Ins(C):R9]G,Insertion,Ins(C),G[Ins(C):R9]G,,TRUE
G[Ins(C):R9]T,Insertion,Ins(C),G[Ins(C):R9]T,,TRUE
T[Ins(C):R0]A,Insertion,Ins(C),T[Ins(C):R0]A,,TRUE
T[Ins(C):R0]G,Insertion,Ins(C),T[Ins(C):R0]G,,TRUE
T[Ins(C):R0]T,Insertion,Ins(C),T[Ins(C):R0]T,,TRUE
T[Ins(C):R1]A,Insertion,Ins(C),T[Ins(C):R1]A,,TRUE
T[Ins(C):R1]G,Insertion,Ins(C),T[Ins(C):R1]G,,TRUE
T[Ins(C):R1]T,Insertion,Ins(C),T[Ins(C):R1]T,,TRUE
T[Ins(C):R2]A,Insertion,Ins(C),T[Ins(C):R2]A,,TRUE
T[Ins(C):R2]G,Insertion,Ins(C),T[Ins(C):R2]G,,TRUE
T[Ins(C):R2]T,Insertion,Ins(C),T[Ins(C):R2]T,,TRUE
T[Ins(C):R3]A,Insertion,Ins(C),T[Ins(C):R3]A,,TRUE
T[Ins(C):R3]G,Insertion,Ins(C),T[Ins(C):R3]G,,TRUE
T[Ins(C):R3]T,Insertion,Ins(C),T[Ins(C):R3]T,,TRUE
T[Ins(C):R4]A,Insertion,Ins(C),T[Ins(C):R4]A,,TRUE
T[Ins(C):R4]G,Insertion,Ins(C),T[Ins(C):R4]G,,TRUE
T[Ins(C):R4]T,Insertion,Ins(C),T[Ins(C):R4]T,,TRUE
T[Ins(C):R5]A,Insertion,Ins(C),T[Ins(C):R5]A,,TRUE
T[Ins(C):R5]G,Insertion,Ins(C),T[Ins(C):R5]G,,TRUE
T[Ins(C):R5]T,Insertion,Ins(C),T[Ins(C):R5]T,,TRUE
T[Ins(C):R6]A,Insertion,Ins(C),T[Ins(C):R6]A,,TRUE
T[Ins(C):R6]G,Insertion,Ins(C),T[Ins(C):R6]G,,TRUE
T[Ins(C):R6]T,Insertion,Ins(C),T[Ins(C):R6]T,,TRUE
T[Ins(C):R7]A,Insertion,Ins(C),T[Ins(C):R7]A,,TRUE
T[Ins(C):R7]G,Insertion,Ins(C),T[Ins(C):R7]G,,TRUE
T[Ins(C):R7]T,Insertion,Ins(C),T[Ins(C):R7]T,,TRUE
T[Ins(C):R8]A,Insertion,Ins(C),T[Ins(C):R8]A,,TRUE
T[Ins(C):R8]G,Insertion,Ins(C),T[Ins(C):R8]G,,TRUE
T[Ins(C):R8]T,Insertion,Ins(C),T[Ins(C):R8]T,,TRUE
T[Ins(C):R9]A,Insertion,Ins(C),T[Ins(C):R9]A,,TRUE
T[Ins(C):R9]G,Insertion,Ins(C),T[Ins(C):R9]G,,TRUE
T[Ins(C):R9]T,Insertion,Ins(C),T[Ins(C):R9]T,,TRUE
A[Ins(T):R0]A,Insertion,Ins(T),A[Ins(T):R0]A,,TRUE
A[Ins(T):R0]C,Insertion,Ins(T),A[Ins(T):R0]C,,TRUE
A[Ins(T):R0]G,Insertion,Ins(T),A[Ins(T):R0]G,,TRUE
A[Ins(T):R1]A,Insertion,Ins(T),A[Ins(T):R1]A,,TRUE
A[Ins(T):R1]C,Insertion,Ins(T),A[Ins(T):R1]C,,TRUE
A[Ins(T):R1]G,Insertion,Ins(T),A[Ins(T):R1]G,,TRUE
A[Ins(T):R2]A,Insertion,Ins(T),A[Ins(T):R2]A,,TRUE
A[Ins(T):R2]C,Insertion,Ins(T),A[Ins(T):R2]C,,TRUE
A[Ins(T):R2]G,Insertion,Ins(T),A[Ins(T):R2]G,,TRUE
A[Ins(T):R3]A,Insertion,Ins(T),A[Ins(T):R3]A,,TRUE
A[Ins(T):R3]C,Insertion,Ins(T),A[Ins(T):R3]C,,TRUE
A[Ins(T):R3]G,Insertion,Ins(T),A[Ins(T):R3]G,,TRUE
A[Ins(T):R4]A,Insertion,Ins(T),A[Ins(T):R4]A,,TRUE
A[Ins(T):R4]C,Insertion,Ins(T),A[Ins(T):R4]C,,TRUE
A[Ins(T):R4]G,Insertion,Ins(T),A[Ins(T):R4]G,,TRUE
A[Ins(T):R5]A,Insertion,Ins(T),A[Ins(T):R5]A,,TRUE
A[Ins(T):R5]C,Insertion,Ins(T),A[Ins(T):R5]C,,TRUE
A[Ins(T):R5]G,Insertion,Ins(T),A[Ins(T):R5]G,,TRUE
A[Ins(T):R6]A,Insertion,Ins(T),A[Ins(T):R6]A,,TRUE
A[Ins(T):R6]C,Insertion,Ins(T),A[Ins(T):R6]C,,TRUE
A[Ins(T):R6]G,Insertion,Ins(T),A[Ins(T):R6]G,,TRUE
A[Ins(T):R7]A,Insertion,Ins(T),A[Ins(T):R7]A,,TRUE
A[Ins(T):R7]C,Insertion,Ins(T),A[Ins(T):R7]C,,TRUE
A[Ins(T):R7]G,Insertion,Ins(T),A[Ins(T):R7]G,,TRUE
A[Ins(T):R8]A,Insertion,Ins(T),A[Ins(T):R8]A,,TRUE
A[Ins(T):R8]C,Insertion,Ins(T),A[Ins(T):R8]C,,TRUE
A[Ins(T):R8]G,Insertion,Ins(T),A[Ins(T):R8]G,,TRUE
A[Ins(T):R9]A,Insertion,Ins(T),A[Ins(T):R9]A,,TRUE
A[Ins(T):R9]C,Insertion,Ins(T),A[Ins(T):R9]C,,TRUE
A[Ins(T):R9]G,Insertion,Ins(T),A[Ins(T):R9]G,,TRUE
C[Ins(T):R0]A,Insertion,Ins(T),C[Ins(T):R0]A,,TRUE
C[Ins(T):R0]C,Insertion,Ins(T),C[Ins(T):R0]C,,TRUE
C[Ins(T):R0]G,Insertion,Ins(T),C[Ins(T):R0]G,,TRUE
C[Ins(T):R1]A,Insertion,Ins(T),C[Ins(T):R1]A,,TRUE
C[Ins(T):R1]C,Insertion,Ins(T),C[Ins(T):R1]C,,TRUE
C[Ins(T):R1]G,Insertion,Ins(T),C[Ins(T):R1]G,,TRUE
C[Ins(T):R2]A,Insertion,Ins(T),C[Ins(T):R2]A,,TRUE
C[Ins(T):R2]C,Insertion,Ins(T),C[Ins(T):R2]C,,TRUE
