Type,Subtype,Indel_size,Repeat_MH_size,MCF10A_Carb_Low_cl2_INDELresult
DEL,C,1,0,41
DEL,C,1,1,23
DEL,C,1,2,7
DEL,C,1,3,11
DEL,C,1,4,5
DEL,C,1,5+,4
DEL,T,1,0,17
DEL,T,1,1,17
DEL,T,1,2,16
DEL,T,1,3,13
DEL,T,1,4,11
DEL,T,1,5+,26
INS,C,1,0,4
INS,C,1,1,7
INS,C,1,2,2
INS,C,1,3,0
INS,C,1,4,0
INS,C,1,5+,3
INS,T,1,0,15
INS,T,1,1,19
INS,T,1,2,4
INS,T,1,3,7
INS,T,1,4,10
INS,T,1,5+,26
DEL,repeats,2,0,12
DEL,repeats,2,1,7
DEL,repeats,2,2,0
DEL,repeats,2,3,1
DEL,repeats,2,4,1
DEL,repeats,2,5+,3
DEL,repeats,3,0,0
DEL,repeats,3,1,2
DEL,repeats,3,2,0
DEL,repeats,3,3,0
DEL,repeats,3,4,1
DEL,repeats,3,5+,0
DEL,repeats,4,0,3
DEL,repeats,4,1,3
DEL,repeats,4,2,0
DEL,repeats,4,3,0
DEL,repeats,4,4,0
DEL,repeats,4,5+,0
DEL,repeats,5+,0,18
DEL,repeats,5+,1,1
DEL,repeats,5+,2,0
DEL,repeats,5+,3,0
DEL,repeats,5+,4,0
DEL,repeats,5+,5+,0
INS,repeats,2,0,3
INS,repeats,2,1,1
INS,repeats,2,2,1
INS,repeats,2,3,0
INS,repeats,2,4,1
INS,repeats,2,5+,4
INS,repeats,3,0,1
INS,repeats,3,1,1
INS,repeats,3,2,0
INS,repeats,3,3,0
INS,repeats,3,4,0
INS,repeats,3,5+,0
INS,repeats,4,0,4
INS,repeats,4,1,1
INS,repeats,4,2,1
INS,repeats,4,3,0
INS,repeats,4,4,0
INS,repeats,4,5+,0
INS,repeats,5+,0,4
INS,repeats,5+,1,1
INS,repeats,5+,2,0
INS,repeats,5+,3,0
INS,repeats,5+,4,1
INS,repeats,5+,5+,0
DEL,MH,2,1,7
DEL,MH,3,1,2
DEL,MH,3,2,4
DEL,MH,4,1,1
DEL,MH,4,2,1
DEL,MH,4,3,3
DEL,MH,5+,1,5
DEL,MH,5+,2,8
DEL,MH,5+,3,6
DEL,MH,5+,4,6
DEL,MH,5+,5+,1
