#ccds	RefSeq	UniProtKB
CCDS2.2	NP_689699.2	Q96NU1-3
CCDS3.1	NP_056473.2	Q9Y3T9
CCDS4.1	NP_115505.2	Q494U1-2
CCDS5.1	NP_066993.1	Q9HCC6
CCDS6.1	NP_005092.1	P05161
CCDS7.2	NP_060361.4	Q96HA4-4
CCDS8.1	NP_694986.2	Q6ZVT0-3
CCDS9.1	NP_683699.1	Q9Y5U5-2
CCDS10.1	NP_004186.1	Q9Y5U5-1
CCDS11.1	NP_003318.1	P43489
CCDS12.1	NP_057631.1	Q9BRK5-6
CCDS13.1	NP_542172.2	Q96L58
CCDS14.1	NP_477515.2	Q8N2K1-1
CCDS15.1	NP_919296.1	Q8N2K1-3
CCDS19.2	NP_085152.2	Q96P50-3
CCDS20.1	NP_699170.1	Q8N0Z8-1
CCDS21.1	NP_060341.2	Q5TA45-1
CCDS22.1	NP_004412.2	O14640-2
CCDS24.1	NP_001269511.1	Q9BRK3-1
CCDS24.1	NP_115724.1	Q9BRK3-1
CCDS25.1	NP_001120701.1	Q9NWT8
CCDS25.1	NP_001120702.1	Q9NWT8
CCDS25.1	NP_060370.1	Q9NWT8
CCDS26.1	NP_060441.2	Q9BYC9-1
CCDS27.1	NP_073745.2	Q6PCB0-1
CCDS28.2	NP_954572.2	Q6PCB0-3
CCDS30.1	NP_114127.3	Q5T9A4-1
CCDS31.1	NP_060658.3	Q9NVI7-1
CCDS32.1	NP_054907.1	Q9NP77-1
CCDS33.1	NP_878258.1	P0CK97-1
CCDS34.1	NP_001269468.1	P62873-1
CCDS34.1	NP_002065.1	P62873-1
CCDS35.1	NP_848640.1	Q8NDY8-1
CCDS36.1	NP_000806.2	O14764
CCDS37.1	NP_002735.3	Q05513-1
CCDS38.2	NP_872339.2	Q6NZ36-1
CCDS39.1	NP_003027.1	P12755
CCDS40.1	NP_079124.1	Q5T089-1
CCDS41.1	NP_722540.1	O60683-2
CCDS44.2	NP_689584.5	Q8TBF2-1
CCDS45.1	NP_536356.3	Q8TDY3
CCDS46.2	NP_055263.2	Q5VV41-1
CCDS47.1	NP_877429.2	Q5T0D9-1
CCDS48.1	NP_060288.3	Q9P2S5
CCDS49.1	NP_005418.1	O15350-1
CCDS50.1	NP_689705.2	Q2M243
CCDS51.1	NP_065761.1	Q8N1G4
CCDS52.1	NP_004393.1	O76075-1
CCDS53.1	NP_997239.2	Q8IYL3
CCDS54.1	NP_001035943.1	Q9UKB5
CCDS54.1	NP_061324.1	Q9UKB5
CCDS55.1	NP_001186789.1	Q13303-1
CCDS55.1	NP_001186790.1	Q13303-1
CCDS55.1	NP_003627.1	Q13303-1
CCDS56.1	NP_742128.1	Q13303-2
CCDS57.1	NP_056372.1	Q8TDI0
CCDS58.1	NP_000974.1	P35268
CCDS59.2	NP_997279.2	Q6ZRF8-1
CCDS61.1	NP_036537.1	O60725
CCDS64.1	NP_997253.2	Q6NV75
CCDS65.1	NP_863654.1	O00154-1
CCDS66.1	NP_863655.1	O00154-5
CCDS67.1	NP_863656.1	O00154-6
CCDS70.1	NP_113663.2	B1AK53-1
CCDS71.1	NP_003781.1	Q93038-1
CCDS72.1	NP_683866.1	Q93038-11
CCDS73.1	NP_683867.1	Q93038-10
CCDS74.1	NP_683868.1	Q93038-9
CCDS75.1	NP_683871.1	Q93038-8
CCDS79.1	NP_001036129.1	O94827-5
CCDS79.1	NP_001036130.1	O94827-5
CCDS79.1	NP_065682.2	O94827-5
CCDS80.1	NP_078930.3	Q5SY16
CCDS81.1	NP_619642.2	Q7RTX1-1
CCDS82.1	NP_803884.1	Q7RTX1-2
CCDS84.1	NP_001265576.1	P10074
CCDS84.1	NP_001265577.1	P10074
CCDS84.1	NP_005332.1	P10074
CCDS85.1	NP_722519.2	Q86YI8
CCDS86.1	NP_612359.2	Q8WTV1-4
CCDS87.1	NP_060668.2	Q9NVH1-1
CCDS88.1	NP_004772.1	Q15836
CCDS89.1	NP_058515.1	P56645-1
CCDS90.1	NP_068835.1	O95399-2
CCDS91.1	NP_006777.1	O95399-1
CCDS92.1	NP_001552.2	Q07011
CCDS93.1	NP_001116849.1	Q99497
CCDS93.1	NP_009193.2	Q99497
CCDS94.1	NP_061821.1	Q9UJM3
CCDS95.1	NP_001036146.1	Q9P2R6-1
CCDS95.1	NP_036234.3	Q9P2R6-1
CCDS97.1	NP_001419.1	P06733-1
CCDS98.2	NP_997303.2	Q6PXP3
CCDS99.1	NP_001315548.1	P22732-1
CCDS99.1	NP_003030.1	P22732-1
CCDS100.2	NP_079256.4	Q5UAW9
CCDS101.1	NP_004276.2	O95479
CCDS102.1	NP_079382.2	Q96BD6
CCDS103.1	NP_115691.1	Q9BSK2
CCDS104.1	NP_005017.3	O00329-1
CCDS105.1	NP_055759.3	O94985-2
CCDS106.1	NP_001012329.1	Q9NSA3
CCDS106.1	NP_064633.1	Q9NSA3
CCDS107.1	NP_001303902.1	Q8WZA0-1
CCDS107.1	NP_115744.2	Q8WZA0-1
CCDS108.1	NP_001284707.1	Q9HAN9
CCDS108.1	NP_073624.2	Q9HAN9
CCDS109.1	NP_443192.1	Q96R05
CCDS110.1	NP_006039.2	O95155-2
CCDS111.1	NP_055889.2	O60333-2
CCDS112.1	NP_904325.2	O60333-3
CCDS113.1	NP_002622.2	P52209-1
CCDS115.1	NP_954988.1	Q8N2Z9-1
CCDS117.2	NP_001293.3	O00230
CCDS118.1	NP_004392.1	O00273-1
CCDS119.1	NP_998731.1	O00273-2
CCDS120.2	NP_060236.3	Q86V15-2
CCDS122.1	NP_031401.1	Q13148-1
CCDS123.1	NP_006601.2	O00187-1
