#ccds	RefSeq	UniProtKB
CCDS2.2	NP_689699.2	Q96NU1-3
CCDS124.1	NP_631947.1	O00187-2
CCDS125.1	NP_003123.2	P19623
CCDS126.1	NP_002676.1	Q01780-2
CCDS127.1	NP_004949.1	P42345
CCDS128.1	NP_066969.1	O43827
CCDS129.1	NP_037451.1	Q9Y5Z9-1
CCDS130.1	NP_036300.2	Q9UK22
CCDS131.1	NP_001291719.1	Q9H4M3-2
CCDS131.1	NP_904319.1	Q9H4M3-2
CCDS131.1	NP_904320.1	Q9H4M3-2
CCDS132.1	NP_001014765.1	Q9H4M3-1
CCDS132.1	NP_001291720.1	Q9H4M3-1
CCDS132.1	NP_149438.2	Q9H4M3-1
CCDS133.1	NP_060908.1	Q9NRD1
CCDS134.1	NP_001120797.1	Q9UI95
CCDS134.1	NP_006332.3	Q9UI95
CCDS135.1	NP_940947.3	Q8NBI3
CCDS136.1	NP_065083.3	Q6RW13-1
CCDS137.1	NP_005948.3	P42898-1
CCDS138.1	NP_001277.1	P51797-1
CCDS140.1	NP_002512.1	P16860
CCDS141.1	NP_612355.1	Q8IYS2-1
CCDS142.1	NP_000293.2	Q02809-1
CCDS143.1	NP_068752.2	Q5JXC2-1
CCDS144.1	NP_001234.3	P28908-1
CCDS145.1	NP_001057.1	P20333-1
CCDS146.1	NP_004744.2	O75911-1
CCDS147.1	NP_689503.3	Q8N1D5
CCDS148.1	NP_075389.2	O95521
CCDS149.1	NP_075390.1	O60811
CCDS150.1	NP_036363.2	Q13029-1
CCDS151.1	NP_056950.2	Q13029-2
CCDS152.2	NP_963922.2	Q674X7-1
CCDS154.1	NP_001129688.1	Q9NW97
CCDS154.1	NP_001129689.1	Q9NW97
CCDS154.1	NP_001129690.1	Q9NW97
CCDS154.1	NP_060492.1	Q9NW97
CCDS155.1	NP_077305.2	Q96C19
CCDS156.1	NP_009203.2	Q99895
CCDS157.1	NP_254275.1	P08217
CCDS158.1	NP_001220.2	P55211-1
CCDS159.2	NP_127463.2	P55211-4
CCDS160.1	NP_079034.3	Q9BSE5
CCDS161.1	NP_006502.1	Q92681
CCDS162.1	NP_997231.1	Q6PIV7
CCDS163.1	NP_001337080.1	Q8WUP2-1
CCDS163.1	NP_060026.2	Q8WUP2-1
CCDS164.1	NP_055816.2	Q96T58
CCDS165.1	NP_003434.2	Q13105-1
CCDS166.1	NP_849162.1	Q8NEQ6
CCDS167.1	NP_004061.3	P51800-1
CCDS168.1	NP_000076.2	P51801-1
CCDS169.1	NP_004422.2	P29317-1
CCDS170.1	NP_694945.2	Q8IW93-1
CCDS171.1	NP_112169.2	Q9BU20
CCDS172.1	NP_940948.1	Q7Z572-1
CCDS173.1	NP_060560.1	Q9NVZ3-1
CCDS174.1	NP_002394.1	P55001-1
CCDS174.1	NP_059453.1	P55001-1
CCDS175.1	NP_071372.1	Q9NQ11-1
CCDS176.1	NP_002991.2	P21912
CCDS177.1	NP_031391.2	Q9Y2J8-1
CCDS178.1	NP_037490.2	Q9ULC6
CCDS179.1	NP_057317.2	Q9ULW8
CCDS180.1	NP_036519.2	Q9UM07
CCDS181.1	NP_001129676.1	Q9P258
CCDS181.1	NP_061185.1	Q9P258
CCDS182.1	NP_060595.3	Q9HCE6-1
CCDS183.1	NP_110439.2	Q9H568
CCDS184.1	NP_116269.3	Q96ID5
CCDS185.2	NP_689588.2	Q5VTJ3
CCDS186.1	NP_002575.1	P23759-1
CCDS187.1	NP_689418.2	Q8TE23
CCDS188.1	NP_003739.2	P30038-1
CCDS188.1	NP_733844.1	P30038-1
CCDS189.1	NP_065816.2	Q5T4S7-1
CCDS190.1	NP_055862.1	Q8N766-1
CCDS191.1	NP_057267.2	Q9UKD2
CCDS192.2	NP_001335350.1	Q8NHP1-1
CCDS193.1	NP_036199.2	O95154
CCDS194.1	NP_003680.2	O43488
CCDS195.2	NP_001035214.1	Q6ZP29-1
CCDS195.2	NP_060235.2	Q6ZP29-1
CCDS196.2	NP_001191013.1	P41271-1
CCDS196.2	NP_001191014.1	P41271-1
CCDS196.2	NP_001265093.1	P41271-1
CCDS196.2	NP_001265094.1	P41271-1
CCDS196.2	NP_001265095.1	P41271-1
CCDS196.2	NP_005371.2	P41271-1
CCDS197.1	NP_000862.1	P50406
CCDS198.1	NP_001336041.1	Q5TGY1-1
CCDS198.1	NP_001336042.1	Q5TGY1-1
CCDS198.1	NP_001336043.1	Q5TGY1-1
CCDS198.1	NP_859070.3	Q5TGY1-1
CCDS199.1	NP_061935.1	Q9NXI6
CCDS200.1	NP_055404.1	Q9NZK7
CCDS201.1	NP_000291.1	P14555
CCDS201.1	NP_001155199.1	P14555
CCDS201.1	NP_001155200.1	P14555
CCDS201.1	NP_001155201.1	P14555
CCDS202.1	NP_000920.1	P39877
CCDS203.1	NP_036532.1	Q9UNK4
CCDS204.2	NP_073730.3	Q9BZM2-2
CCDS205.1	NP_689589.1	Q96LJ8
CCDS207.1	NP_061054.2	Q7Z7J9
CCDS208.1	NP_078820.2	Q969V5
CCDS209.1	NP_997217.1	Q6ZT52
CCDS210.1	NP_001776.1	P32320
CCDS211.1	NP_115785.1	Q9BXM7-1
CCDS212.1	NP_005207.2	P39656-1
CCDS213.1	NP_065867.2	Q9P2E2-1
CCDS214.1	NP_003751.2	O43432-1
CCDS215.1	NP_001388.1	P42892-1
CCDS216.1	NP_115640.1	Q9H094-1
CCDS217.1	NP_000469.3	P05186-1
CCDS218.1	NP_001337456.1	P47736-1
CCDS218.1	NP_002876.2	P47736-1
CCDS219.1	NP_031378.1	P08861
CCDS220.1	NP_005738.4	P09093
CCDS221.1	NP_001034891.1	P60953
CCDS221.1	NP_001782.1	P60953
CCDS222.1	NP_426359.1	P60953-1
CCDS223.1	NP_110388.2	P56705-1
CCDS224.1	NP_001077090.1	Q9NUA8-1
CCDS224.1	NP_055685.3	Q9NUA8-1
CCDS225.1	NP_065387.1	P29322-1
CCDS226.1	NP_001334394.1	P02745
CCDS226.1	NP_001334395.1	P02745
CCDS226.1	NP_057075.1	P02745
CCDS227.1	NP_001107573.1	P02747
CCDS227.1	NP_001334548.1	P02747
CCDS227.1	NP_758957.2	P02747
CCDS228.1	NP_000482.3	P02746
CCDS229.2	NP_059145.2	P29323-2
CCDS230.1	NP_004433.2	P29323-3
CCDS231.1	NP_000855.1	P28221
CCDS232.1	NP_005817.1	O43390-1
CCDS233.1	NP_001070663.1	Q9C0F3
CCDS233.1	NP_085137.1	Q9C0F3
CCDS235.1	NP_060177.2	Q8TDY4-1
CCDS236.1	NP_004082.1	Q14209
CCDS237.1	NP_002158.3	Q02535
CCDS238.1	NP_000966.2	P62913
CCDS239.2	NP_003189.2	Q14241
CCDS240.1	NP_065095.2	Q9GZP4-1
CCDS241.1	NP_009191.1	O95372
CCDS242.1	NP_000394.2	Q14376-1
CCDS242.1	NP_001008217.1	Q14376-1
CCDS242.1	NP_001121093.1	Q14376-1
CCDS243.1	NP_000182.2	P35914-1
CCDS244.2	NP_000138.2	P04066
CCDS245.1	NP_001832.1	P34972
CCDS246.1	NP_060231.1	Q9NPJ4-1
CCDS247.1	NP_067081.2	Q8N6P7
CCDS248.1	NP_734464.1	Q8IU57-1
CCDS249.1	NP_775087.1	Q8IU57-2
CCDS250.1	NP_775088.1	Q8IU57-4
CCDS251.1	NP_067003.2	Q8TE85-2
CCDS252.2	NP_937817.3	Q8TE85-1
CCDS253.1	NP_835223.1	Q5TH74-3
CCDS254.1	NP_001238906.1	Q9UKA8-1
CCDS254.1	NP_001238907.1	Q9UKA8-1
CCDS254.1	NP_001238908.1	Q9UKA8-1
CCDS254.1	NP_038469.1	Q9UKA8-1
CCDS255.1	NP_005830.2	Q8IYB3-1
CCDS256.1	NP_039234.1	Q9Y696
CCDS257.1	NP_004341.1	Q13761-1
CCDS258.1	NP_997053.1	O95926-2
CCDS259.1	NP_056299.1	O95926-1
CCDS260.1	NP_001308701.1	Q9BUV0-1
CCDS260.1	NP_064713.3	Q9BUV0-1
CCDS262.1	NP_057208.2	Q02161-1
CCDS264.1	NP_055128.1	O95807
CCDS265.1	NP_065112.1	Q9NR34
CCDS266.1	NP_076942.1	Q9H7T9-1
CCDS267.1	NP_848509.1	Q86WK9
CCDS269.1	NP_005554.1	P16949-1
CCDS269.1	NP_981944.1	P16949-1
CCDS269.1	NP_981946.1	P16949-1
CCDS270.1	NP_000428.2	Q99487
CCDS271.1	NP_004446.2	Q92935
CCDS272.1	NP_115902.1	Q9BRI3-1
CCDS273.1	NP_115977.2	Q969Q1-1
CCDS274.1	NP_001230461.1	Q8N165
CCDS274.1	NP_001230462.1	Q8N165
CCDS274.1	NP_690048.1	Q8N165
CCDS275.2	NP_056955.2	O00488
CCDS276.1	NP_006305.2	Q969H4-2
CCDS277.1	NP_073615.2	Q6P2H3-1
CCDS278.1	NP_112576.1	Q9H299
CCDS279.2	NP_001108231.1	Q8IZ20-2
CCDS279.2	NP_775845.2	Q8IZ20-2
CCDS280.1	NP_078950.1	Q9H9Z2
CCDS281.1	NP_079163.2	Q86SQ9-2
CCDS282.1	NP_995583.1	Q86SQ9-1
CCDS283.1	NP_005508.1	P05204
CCDS284.1	NP_002944.2	Q15418-1
CCDS285.1	NP_006006.3	O14497-1
CCDS287.1	NP_001189483.1	Q9NUD9
CCDS287.1	NP_060307.2	Q9NUD9
CCDS288.1	NP_006133.1	P31947-1
CCDS289.1	NP_060536.3	Q9H9Y4
CCDS290.1	NP_071361.2	Q96I76
CCDS291.1	NP_068804.1	Q15466
CCDS292.1	NP_006591.1	Q9Y266
CCDS293.1	NP_689578.2	Q8NAX2
CCDS294.2	NP_443175.2	Q96A09
CCDS295.1	NP_003038.2	P19634-1
CCDS296.1	NP_055838.2	Q8N5D0-4
CCDS297.2	NP_115501.2	Q9H0R3-1
CCDS298.1	NP_116261.1	Q8IYJ3-2
CCDS299.1	NP_004663.3	O95382-1
CCDS300.1	NP_003656.2	O75636-1
CCDS301.1	NP_775628.1	O75636-2
CCDS302.1	NP_997280.2	Q6UWJ8-2
CCDS303.1	NP_005272.1	P46089
CCDS304.1	NP_008921.1	Q9Y6W5-1
CCDS305.1	NP_001036194.1	P09769
CCDS305.1	NP_001036212.1	P09769
CCDS305.1	NP_005239.1	P09769
CCDS306.1	NP_002029.3	P09912-1
CCDS307.1	NP_075010.1	P09912-2
CCDS308.1	NP_075011.1	P09912-3
CCDS309.1	NP_689873.1	Q8TAV0-1
CCDS310.1	NP_803173.1	Q86Y82
CCDS311.1	NP_054829.2	Q12972-1
CCDS312.1	NP_612568.1	Q12972-2
CCDS313.1	NP_002704.1	Q12972-3
CCDS314.1	NP_002937.1	P15927-1
CCDS315.1	NP_060523.2	Q9H6D3
CCDS316.1	NP_001981.2	Q99504-1
CCDS318.1	NP_000943.1	P25105
CCDS318.1	NP_001158193.1	P25105
CCDS318.1	NP_001158194.1	P25105
CCDS318.1	NP_001158195.1	P25105
CCDS319.1	NP_057395.1	Q9UII2-1
CCDS320.1	NP_835497.1	Q9UII2-2
CCDS321.1	NP_113647.1	P58004
CCDS322.1	NP_001120822.1	Q9BUE0
CCDS322.1	NP_060108.2	Q9BUE0
CCDS323.1	NP_001041664.1	P18754-1
CCDS323.1	NP_001260.1	P18754-1
CCDS324.1	NP_060316.1	Q9NX07-1
CCDS325.1	NP_689517.1	Q8N4Z0-1
CCDS326.1	NP_001128690.1	Q16514-1
CCDS326.1	NP_005635.1	Q16514-1
CCDS327.1	NP_006573.2	Q9Y692-1
CCDS328.1	NP_001306603.1	Q9Y692-2
CCDS328.1	NP_077808.1	Q9Y692-2
CCDS329.1	NP_000902.3	P41143
CCDS330.1	NP_976218.1	P11171-5
CCDS331.1	NP_004428.1	P11171-4
CCDS332.1	NP_976217.1	P11171-3
CCDS333.1	NP_005617.2	Q08170
CCDS334.1	NP_005695.3	Q92729-1
CCDS335.1	NP_573439.2	Q92729-2
CCDS336.1	NP_002370.1	P21941
CCDS337.1	NP_006753.1	Q13571
CCDS338.1	NP_055491.1	Q14671-1
CCDS339.2	NP_078798.2	Q4KMZ8-1
CCDS340.1	NP_004805.2	Q96DI7-1
CCDS341.1	NP_001269497.1	Q9NP64-1
CCDS341.1	NP_057589.2	Q9NP64-1
CCDS342.1	NP_004093.1	P05413
CCDS343.1	NP_071447.1	Q9GZM7-1
CCDS344.1	NP_001516.2	O43613
CCDS345.1	NP_036524.1	Q9UBV8
CCDS347.1	NP_653170.3	Q6ZMY3-1
CCDS348.1	NP_536316.1	Q12974-1
CCDS350.1	NP_006550.1	Q07666-1
CCDS351.2	NP_060526.2	Q9GZU3-1
CCDS352.1	NP_036448.1	O60684
CCDS353.1	NP_787048.1	P40222
CCDS354.2	NP_077272.2	Q9BUN5-1
CCDS355.1	NP_060604.2	Q4KMZ1-1
CCDS356.2	NP_061991.3	Q8WY98-3
CCDS357.1	NP_003748.1	Q13347
CCDS358.2	NP_116037.2	Q9BTA0
CCDS359.1	NP_001036236.1	P06239-1
CCDS359.1	NP_005347.3	P06239-1
CCDS360.1	NP_004955.2	Q13547
CCDS361.1	NP_075385.1	P49006
CCDS362.1	NP_443073.1	Q96PN8
CCDS363.2	NP_060515.3	Q9NW68-1
CCDS366.1	NP_005601.1	Q09028-1
CCDS367.2	NP_110413.2	Q9H7C4-1
CCDS368.1	NP_003671.1	P54577
CCDS369.2	NP_715637.2	Q8NAU1-1
CCDS370.1	NP_002134.2	P84074
CCDS371.1	NP_277039.1	Q969K7-1
CCDS372.2	NP_699172.2	Q6ZMZ0-1
CCDS373.1	NP_037543.1	P54819-2
CCDS374.1	NP_001616.1	P54819-1
CCDS375.1	NP_001280491.1	Q96A70-1
CCDS375.1	NP_443724.1	Q96A70-1
CCDS376.1	NP_060677.2	Q9BVG3-1
CCDS377.1	NP_689706.2	Q5T0B9
CCDS378.1	NP_932157.1	Q8IXK0-1
CCDS379.1	NP_004418.2	Q8IXK0-2
CCDS380.1	NP_443128.2	Q7Z408-1
CCDS381.1	NP_116273.2	Q6P1W5-2
CCDS382.1	NP_005259.1	O95377
CCDS383.1	NP_694944.1	Q9NTQ9
CCDS384.1	NP_001005752.1	O75712
CCDS384.1	NP_076872.1	O75712
CCDS387.2	NP_009098.3	O95789-3
CCDS388.1	NP_005057.1	P23246-1
CCDS389.1	NP_005086.2	Q5VZL5-1
CCDS390.1	NP_079150.3	Q8IZA0-1
CCDS392.1	NP_001014839.1	Q9UBB6-1
CCDS392.1	NP_055099.1	Q9UBB6-1
CCDS393.2	NP_848643.2	Q6VUC0
CCDS394.1	NP_002785.1	P49721
CCDS395.1	NP_001335620.1	Q8TAB5
CCDS395.1	NP_689587.1	Q8TAB5
CCDS396.1	NP_071394.2	Q9HAW4-1
CCDS397.1	NP_060099.2	Q9HCK5
CCDS398.1	NP_036331.1	Q9UL18
CCDS399.1	NP_079128.2	Q9H9G7-1
CCDS400.1	NP_803171.1	Q9H9G7-2
CCDS401.1	NP_055281.2	Q9UIF3
CCDS402.1	NP_060295.1	Q9NX46
CCDS403.1	NP_005193.1	P25067
CCDS404.1	NP_055223.1	O43617-1
CCDS405.1	NP_001308400.1	Q9Y2W1
CCDS405.1	NP_005110.2	Q9Y2W1
CCDS406.1	NP_001291691.1	Q9NVM1
CCDS406.1	NP_060636.1	Q9NVM1
CCDS407.1	NP_001269476.1	Q8N2I9-1
CCDS407.1	NP_114406.1	Q8N2I9-1
CCDS408.1	NP_116270.1	Q969L4
CCDS409.2	NP_659484.4	Q8WVF1-3
CCDS410.1	NP_996668.1	Q8WVF1-4
CCDS411.1	NP_112570.2	P82914
CCDS412.1	NP_758519.1	Q99062-4
CCDS413.1	NP_000751.1	Q99062-1
CCDS414.1	NP_724781.1	Q99062-3
CCDS416.1	NP_000822.2	Q13003-1
CCDS417.1	NP_001310479.1	Q5D1E8
CCDS417.1	NP_079355.2	Q5D1E8
CCDS418.1	NP_073593.2	Q9HAF1-3
CCDS419.1	NP_078976.2	Q8TAD8
CCDS421.1	NP_037417.1	Q13823
CCDS423.1	NP_001337694.1	Q9NX04-1
CCDS423.1	NP_001337695.1	Q9NX04-1
CCDS423.1	NP_001337696.1	Q9NX04-1
CCDS423.1	NP_001337697.1	Q9NX04-1
CCDS423.1	NP_001337698.1	Q9NX04-1
CCDS423.1	NP_001337699.1	Q9NX04-1
CCDS423.1	NP_001337700.1	Q9NX04-1
CCDS423.1	NP_060320.1	Q9NX04-1
CCDS424.1	NP_001243804.1	Q53HL2
CCDS424.1	NP_060571.1	Q53HL2
CCDS425.1	NP_775912.2	Q5JZY3-2
CCDS426.1	NP_689709.1	Q5VSG8-2
CCDS427.2	NP_940848.2	Q6ZSJ8-1
CCDS428.1	NP_006793.1	Q12874
CCDS429.1	NP_057121.2	Q9Y3A2-1
CCDS430.1	NP_071440.1	Q9HB90
CCDS431.1	NP_036465.2	Q99417
CCDS432.1	NP_110399.2	P57773-1
CCDS433.1	NP_078871.1	Q9H9L7-1
CCDS434.1	NP_001171908.1	O43920
CCDS434.1	NP_004543.1	O43920
CCDS435.1	NP_036222.3	Q9UPN3-2
CCDS437.1	NP_861525.2	Q7Z5Y6
CCDS438.1	NP_003810.1	Q13310-1
CCDS439.1	NP_055386.1	Q9NQ87
CCDS440.1	NP_115915.1	Q9BXI3
CCDS441.1	NP_001269325.1	Q9UM19
CCDS441.1	NP_057341.1	Q9UM19
CCDS442.1	NP_982281.1	Q9UNP9-2
CCDS443.1	NP_006103.1	Q9UNP9-1
CCDS444.1	NP_001711.2	P34820-1
CCDS445.1	NP_071403.1	Q9BYC2
CCDS446.1	NP_116182.2	Q8NA29-2
CCDS447.1	NP_000301.1	P50897-1
CCDS448.1	NP_036553.2	Q13129
CCDS449.1	NP_005848.2	O75844
CCDS450.1	NP_001843.1	Q14055
CCDS451.1	NP_073570.1	Q8WU79-1
CCDS452.2	NP_075558.2	Q9UJL9-1
CCDS453.1	NP_001333875.1	Q9H790
CCDS453.1	NP_001333876.1	Q9H790
CCDS453.1	NP_001333877.1	Q9H790
CCDS453.1	NP_001333878.1	Q9H790
CCDS453.1	NP_001333879.1	Q9H790
CCDS453.1	NP_001333880.1	Q9H790
CCDS453.1	NP_001333881.1	Q9H790
CCDS453.1	NP_001333882.1	Q9H790
CCDS453.1	NP_001333883.1	Q9H790
CCDS453.1	NP_001333884.1	Q9H790
CCDS453.1	NP_001333885.1	Q9H790
CCDS453.1	NP_073611.1	Q9H790
CCDS454.1	NP_689586.3	Q5T5D7
CCDS455.1	NP_055038.2	Q13952-2
CCDS456.1	NP_004691.2	P56696-1
CCDS458.1	NP_597724.1	Q96RK1
CCDS459.1	NP_001896.2	P17812-1
CCDS460.1	NP_001161719.1	Q499Z3-1
CCDS460.1	NP_659427.3	Q499Z3-1
CCDS461.1	NP_036368.1	Q96GD3-4
CCDS462.1	NP_001947.1	P20800
CCDS463.1	NP_078779.2	Q5T1R4-1
CCDS464.1	NP_009033.1	Q16661
CCDS465.1	NP_291031.2	Q02747
CCDS466.2	NP_775913.2	Q8IXN7
CCDS467.1	NP_115633.3	Q9H0C1
CCDS469.1	NP_006338.1	O43447-1
CCDS470.1	NP_004550.2	P67809
CCDS471.1	NP_683763.2	Q8N6F1-1
CCDS472.2	NP_071751.3	Q32P28-1
CCDS473.1	NP_077002.2	Q9BV19
CCDS474.1	NP_955374.1	Q8N300
CCDS475.1	NP_001017922.1	Q96PL5
CCDS475.1	NP_061008.2	Q96PL5
CCDS476.1	NP_056995.1	Q5VV52-2
CCDS477.1	NP_006507.2	P11166
CCDS478.1	NP_006815.2	Q99848
CCDS479.1	NP_001161437.1	Q96MR6-2
CCDS479.1	NP_689711.2	Q96MR6-2
CCDS480.1	NP_001307173.1	Q96AQ2
CCDS480.1	NP_653227.1	Q96AQ2
CCDS481.1	NP_001158301.1	Q8IVY1
CCDS481.1	NP_872323.1	Q8IVY1
CCDS482.1	NP_005415.1	P35590-1
CCDS483.1	NP_005364.1	P40238-1
CCDS484.1	NP_001246.2	Q12834
CCDS485.1	NP_001243328.1	Q9BW60-1
CCDS485.1	NP_073732.1	Q9BW60-1
CCDS486.2	NP_443109.2	Q96G25-2
CCDS487.2	NP_963836.2	Q96G25-1
CCDS488.2	NP_112484.3	Q5T013-3
CCDS489.2	NP_002831.2	P10586-1
CCDS490.2	NP_569707.2	P10586-2
CCDS491.1	NP_055478.2	O75164-1
CCDS492.1	NP_006270.1	Q11203-1
CCDS493.1	NP_777623.2	Q11203-4
CCDS494.1	NP_777624.1	Q11203-2
CCDS495.1	NP_777626.1	Q11203-8
CCDS496.1	NP_777628.2	Q11203-13
CCDS497.1	NP_777629.1	Q11203-15
CCDS498.1	NP_777631.2	Q11203-19
CCDS499.1	NP_777625.1	Q11203-3
CCDS500.1	NP_777627.1	Q11203-12
CCDS501.1	NP_476432.2	Q5T4W7-1
CCDS502.1	NP_001129687.1	Q5T4W7-3
CCDS502.1	NP_476431.2	Q5T4W7-3
CCDS503.1	NP_055467.3	O94829
CCDS504.1	NP_001375.2	Q9BQC3-1
CCDS505.1	NP_004038.1	Q99437-1
CCDS506.1	NP_001005417.1	O60909-1
CCDS506.1	NP_003771.1	O60909-1
CCDS507.1	NP_689712.1	Q8N4L8-1
CCDS508.1	NP_775755.3	Q5JT82
CCDS509.1	NP_001029195.1	Q9NPF5
CCDS509.1	NP_001029196.1	Q9NPF5
CCDS509.1	NP_061973.1	Q9NPF5
CCDS510.1	NP_001306885.1	Q5VTB9-1
CCDS510.1	NP_060620.2	Q5VTB9-1
CCDS511.1	NP_078863.2	Q6P2H8-1
CCDS512.1	NP_006836.2	Q99661-1
CCDS513.1	NP_001003.1	P62241
CCDS514.1	NP_695006.1	Q8NFU0
CCDS515.1	NP_004064.2	Q9H4B4
CCDS516.1	NP_003729.3	Q9Y6C5-1
CCDS517.1	NP_065098.1	Q9NR50-1
CCDS518.1	NP_000365.3	P06132
CCDS519.1	NP_116145.1	Q96IR7
CCDS520.1	NP_036354.1	Q9UIF7-1
CCDS521.1	NP_079353.3	Q96GM8-1
CCDS522.1	NP_001189360.1	Q06830
CCDS522.1	NP_002565.1	Q06830
CCDS522.1	NP_859047.1	Q06830
