Study,Cancer.Types,scale,Sample.Names,Accuracy,SBS1
PCAWG-WGS,Biliary-AdenoCA,genome,SP117655,0.968,1496
PCAWG-WGS,Biliary-AdenoCA,genome,SP117556,0.963,985
PCAWG-WGS,Biliary-AdenoCA,genome,SP117627,0.973,1110
PCAWG-WGS,Biliary-AdenoCA,genome,SP117775,0.987,1803
PCAWG-WGS,Biliary-AdenoCA,genome,SP117332,0.987,441
PCAWG-WGS,Biliary-AdenoCA,genome,SP117712,0.948,122
PCAWG-WGS,Biliary-AdenoCA,genome,SP117017,0.951,571
PCAWG-WGS,Biliary-AdenoCA,genome,SP117031,0.976,1926
PCAWG-WGS,Biliary-AdenoCA,genome,SP117759,0.982,2403
PCAWG-WGS,Biliary-AdenoCA,genome,SP117621,0.989,2210
PCAWG-WGS,Biliary-AdenoCA,genome,SP117425,0.996,998
PCAWG-WGS,Biliary-AdenoCA,genome,SP117930,0.966,1360
PCAWG-WGS,Biliary-AdenoCA,genome,SP99287,0.967,157
PCAWG-WGS,Biliary-AdenoCA,genome,SP99293,0.968,254
PCAWG-WGS,Biliary-AdenoCA,genome,SP99289,0.978,304
PCAWG-WGS,Biliary-AdenoCA,genome,SP99297,0.921,55
PCAWG-WGS,Biliary-AdenoCA,genome,SP99301,0.965,1892
PCAWG-WGS,Biliary-AdenoCA,genome,SP99305,0.96,286
PCAWG-WGS,Biliary-AdenoCA,genome,SP99309,0.95,285
PCAWG-WGS,Biliary-AdenoCA,genome,SP99313,0.974,137
PCAWG-WGS,Biliary-AdenoCA,genome,SP99317,0.945,81
PCAWG-WGS,Biliary-AdenoCA,genome,SP99321,0.981,907
PCAWG-WGS,Biliary-AdenoCA,genome,SP99325,0.98,21335
PCAWG-WGS,Biliary-AdenoCA,genome,SP99329,0.959,446
PCAWG-WGS,Biliary-AdenoCA,genome,SP99333,0.966,328
PCAWG-WGS,Biliary-AdenoCA,genome,SP99337,0.967,180
PCAWG-WGS,Biliary-AdenoCA,genome,SP99341,0.96,358
PCAWG-WGS,Biliary-AdenoCA,genome,SP99345,0.972,83
PCAWG-WGS,Biliary-AdenoCA,genome,SP99113,0.937,117
PCAWG-WGS,Biliary-AdenoCA,genome,SP99185,0.969,135
PCAWG-WGS,Biliary-AdenoCA,genome,SP99209,0.967,366
PCAWG-WGS,Biliary-AdenoCA,genome,SP99213,0.968,752
PCAWG-WGS,Biliary-AdenoCA,genome,SP99221,0.945,103
PCAWG-WGS,Biliary-AdenoCA,genome,SP99225,0.967,251
PCAWG-WGS,Biliary-AdenoCA,genome,SP99241,0.969,294
PCAWG-WGS,Bladder-TCC,genome,SP1086,0.982,565
PCAWG-WGS,Bladder-TCC,genome,SP1003,0.996,502
PCAWG-WGS,Bladder-TCC,genome,SP1677,0.996,517
PCAWG-WGS,Bladder-TCC,genome,SP1305,0.968,0
PCAWG-WGS,Bladder-TCC,genome,SP963,0.998,688
PCAWG-WGS,Bladder-TCC,genome,SP1144,0.995,2754
PCAWG-WGS,Bladder-TCC,genome,SP1132,0.959,319
PCAWG-WGS,Bladder-TCC,genome,SP1712,0.995,573
PCAWG-WGS,Bladder-TCC,genome,SP1114,0.935,226
PCAWG-WGS,Bladder-TCC,genome,SP1431,0.994,658
PCAWG-WGS,Bladder-TCC,genome,SP975,0.983,1441
PCAWG-WGS,Bladder-TCC,genome,SP1059,0.993,0
PCAWG-WGS,Bladder-TCC,genome,SP1419,0.987,1435
PCAWG-WGS,Bladder-TCC,genome,SP1009,0.995,598
PCAWG-WGS,Bladder-TCC,genome,SP1724,0.997,446
PCAWG-WGS,Bladder-TCC,genome,SP96136,0.998,523
PCAWG-WGS,Bladder-TCC,genome,SP967,0.967,925
PCAWG-WGS,Bladder-TCC,genome,SP1781,0.996,1011
PCAWG-WGS,Bladder-TCC,genome,SP1174,0.987,1189
PCAWG-WGS,Bladder-TCC,genome,SP953,0.991,643
PCAWG-WGS,Bladder-TCC,genome,SP1377,0.996,715
PCAWG-WGS,Bladder-TCC,genome,SP1365,0.988,1064
PCAWG-WGS,Bladder-TCC,genome,SP1491,0.986,401
PCAWG-WGS,Bone-Benign,genome,SP116536,0.966,204
PCAWG-WGS,Bone-Benign,genome,SP116539,0.911,54
PCAWG-WGS,Bone-Benign,genome,SP116542,0.927,101
PCAWG-WGS,Bone-Benign,genome,SP116545,0.941,74
PCAWG-WGS,Bone-Benign,genome,SP116548,0.9,109
PCAWG-WGS,Bone-Benign,genome,SP116550,0.899,42
PCAWG-WGS,Bone-Benign,genome,SP116553,0.898,69
PCAWG-WGS,Bone-Benign,genome,SP116557,0.877,45
PCAWG-WGS,Bone-Benign,genome,SP116559,0.917,72
PCAWG-WGS,Bone-Benign,genome,SP116562,0.878,91
PCAWG-WGS,Bone-Benign,genome,SP116564,0.92,69
PCAWG-WGS,Bone-Benign,genome,SP116571,0.948,98
PCAWG-WGS,Bone-Benign,genome,SP116393,0.855,19
PCAWG-WGS,Bone-Benign,genome,SP116442,0.89,46
PCAWG-WGS,Bone-Benign,genome,SP116446,0.889,20
PCAWG-WGS,Bone-Benign,genome,SP116448,0.788,5
PCAWG-WGS,Bone-Epith,genome,SP116419,0.912,241
PCAWG-WGS,Bone-Epith,genome,SP116383,0.978,421
PCAWG-WGS,Bone-Epith,genome,SP116385,0.958,237
PCAWG-WGS,Bone-Epith,genome,SP116440,0.961,261
PCAWG-WGS,Bone-Epith,genome,SP116450,0.975,268
PCAWG-WGS,Bone-Epith,genome,SP116493,0.961,168
PCAWG-WGS,Bone-Epith,genome,SP116391,0.934,249
PCAWG-WGS,Bone-Epith,genome,SP116401,0.966,306
PCAWG-WGS,Bone-Epith,genome,SP116409,0.974,170
PCAWG-WGS,Bone-Epith,genome,SP116416,0.947,160
PCAWG-WGS,Bone-Epith,genome,SP116424,0.936,156
PCAWG-WGS,Bone-Osteosarc,genome,SP116515,0.9,121
PCAWG-WGS,Bone-Osteosarc,genome,SP116499,0.955,248
PCAWG-WGS,Bone-Osteosarc,genome,SP116505,0.949,283
PCAWG-WGS,Bone-Osteosarc,genome,SP116509,0.986,132
PCAWG-WGS,Bone-Osteosarc,genome,SP116437,0.956,179
PCAWG-WGS,Bone-Osteosarc,genome,SP116512,0.919,199
PCAWG-WGS,Bone-Osteosarc,genome,SP116465,0.948,126
PCAWG-WGS,Bone-Osteosarc,genome,SP116496,0.983,286
PCAWG-WGS,Bone-Osteosarc,genome,SP116525,0.967,486
PCAWG-WGS,Bone-Osteosarc,genome,SP116481,0.969,239
PCAWG-WGS,Bone-Osteosarc,genome,SP116586,0.936,168
PCAWG-WGS,Bone-Osteosarc,genome,SP116528,0.961,453
PCAWG-WGS,Bone-Osteosarc,genome,SP116589,0.925,319
PCAWG-WGS,Bone-Osteosarc,genome,SP116406,0.953,237
PCAWG-WGS,Bone-Osteosarc,genome,SP116484,0.93,133
PCAWG-WGS,Bone-Osteosarc,genome,SP116453,0.951,254
PCAWG-WGS,Bone-Osteosarc,genome,SP116469,0.938,200
PCAWG-WGS,Bone-Osteosarc,genome,SP116578,0.975,255
PCAWG-WGS,Bone-Osteosarc,genome,SP116531,0.933,131
PCAWG-WGS,Bone-Osteosarc,genome,SP116593,0.951,114
PCAWG-WGS,Bone-Osteosarc,genome,SP116487,0.959,156
PCAWG-WGS,Bone-Osteosarc,genome,SP116456,0.942,197
PCAWG-WGS,Bone-Osteosarc,genome,SP116472,0.976,206
PCAWG-WGS,Bone-Osteosarc,genome,SP116518,0.955,472
PCAWG-WGS,Bone-Osteosarc,genome,SP116412,0.959,167
PCAWG-WGS,Bone-Osteosarc,genome,SP116534,0.924,111
PCAWG-WGS,Bone-Osteosarc,genome,SP116596,0.962,400
PCAWG-WGS,Bone-Osteosarc,genome,SP116490,0.928,272
PCAWG-WGS,Bone-Osteosarc,genome,SP116459,0.954,356
PCAWG-WGS,Bone-Osteosarc,genome,SP116475,0.957,188
PCAWG-WGS,Bone-Osteosarc,genome,SP116520,0.963,178
PCAWG-WGS,Bone-Osteosarc,genome,SP116431,0.97,283
PCAWG-WGS,Bone-Osteosarc,genome,SP116582,0.967,453
PCAWG-WGS,Bone-Osteosarc,genome,SP116599,0.961,329
PCAWG-WGS,Bone-Osteosarc,genome,SP116478,0.978,215
PCAWG-WGS,Bone-Osteosarc,genome,SP116462,0.96,137
PCAWG-WGS,Bone-Osteosarc,genome,SP116523,0.956,417
PCAWG-WGS,Bone-Osteosarc,genome,SP116434,0.882,58
PCAWG-WGS,Breast-AdenoCA,genome,SP117956,0.938,226
PCAWG-WGS,Breast-AdenoCA,genome,SP117975,0.958,458
PCAWG-WGS,Breast-AdenoCA,genome,SP2149,0.965,480
PCAWG-WGS,Breast-AdenoCA,genome,SP117113,0.957,369
PCAWG-WGS,Breast-AdenoCA,genome,SP117245,0.972,376
PCAWG-WGS,Breast-AdenoCA,genome,SP117402,0.99,326
PCAWG-WGS,Breast-AdenoCA,genome,SP117136,0.961,247
PCAWG-WGS,Breast-AdenoCA,genome,SP117378,0.97,201
PCAWG-WGS,Breast-AdenoCA,genome,SP116947,0.965,376
PCAWG-WGS,Breast-AdenoCA,genome,SP117369,0.997,178
PCAWG-WGS,Breast-AdenoCA,genome,SP117244,0.991,176
PCAWG-WGS,Breast-AdenoCA,genome,SP117162,0.978,518
PCAWG-WGS,Breast-AdenoCA,genome,SP117079,0.997,199
PCAWG-WGS,Breast-AdenoCA,genome,SP117344,0.962,312
PCAWG-WGS,Breast-AdenoCA,genome,SP118074,0.979,963
PCAWG-WGS,Breast-AdenoCA,genome,SP117598,0.945,197
PCAWG-WGS,Breast-AdenoCA,genome,SP117312,0.981,357
PCAWG-WGS,Breast-AdenoCA,genome,SP118038,0.989,240
PCAWG-WGS,Breast-AdenoCA,genome,SP117552,0.965,233
PCAWG-WGS,Breast-AdenoCA,genome,SP118073,0.961,378
PCAWG-WGS,Breast-AdenoCA,genome,SP117933,0.944,167
PCAWG-WGS,Breast-AdenoCA,genome,SP118012,0.975,261
PCAWG-WGS,Breast-AdenoCA,genome,SP117108,0.976,323
PCAWG-WGS,Breast-AdenoCA,genome,SP117812,0.961,262
PCAWG-WGS,Breast-AdenoCA,genome,SP117354,0.97,400
PCAWG-WGS,Breast-AdenoCA,genome,SP117370,0.975,329
PCAWG-WGS,Breast-AdenoCA,genome,SP116991,0.972,342
PCAWG-WGS,Breast-AdenoCA,genome,SP117629,0.98,284
PCAWG-WGS,Breast-AdenoCA,genome,SP124199,0.952,464
PCAWG-WGS,Breast-AdenoCA,genome,SP124195,0.971,461
PCAWG-WGS,Breast-AdenoCA,genome,SP117850,0.982,329
PCAWG-WGS,Breast-AdenoCA,genome,SP117127,0.964,260
PCAWG-WGS,Breast-AdenoCA,genome,SP117614,0.968,398
PCAWG-WGS,Breast-AdenoCA,genome,SP116948,0.974,368
PCAWG-WGS,Breast-AdenoCA,genome,SP117409,0.982,284
PCAWG-WGS,Breast-AdenoCA,genome,SP117593,0.951,362
PCAWG-WGS,Breast-AdenoCA,genome,SP117372,0.998,264
PCAWG-WGS,Breast-AdenoCA,genome,SP118077,0.957,402
PCAWG-WGS,Breast-AdenoCA,genome,SP117840,0.965,273
PCAWG-WGS,Breast-AdenoCA,genome,SP117363,0.939,316
PCAWG-WGS,Breast-AdenoCA,genome,SP117887,0.959,428
PCAWG-WGS,Breast-AdenoCA,genome,SP116946,0.979,394
PCAWG-WGS,Breast-AdenoCA,genome,SP117901,0.973,234
PCAWG-WGS,Breast-AdenoCA,genome,SP117454,0.978,383
PCAWG-WGS,Breast-AdenoCA,genome,SP124197,0.994,278
PCAWG-WGS,Breast-AdenoCA,genome,SP117919,0.974,367
PCAWG-WGS,Breast-AdenoCA,genome,SP117250,0.997,245
PCAWG-WGS,Breast-AdenoCA,genome,SP117983,0.979,284
PCAWG-WGS,Breast-AdenoCA,genome,SP117676,0.969,213
PCAWG-WGS,Breast-AdenoCA,genome,SP117011,0.998,239
PCAWG-WGS,Breast-AdenoCA,genome,SP117057,0.98,212
PCAWG-WGS,Breast-AdenoCA,genome,SP117126,0.976,446
PCAWG-WGS,Breast-AdenoCA,genome,SP117728,0.971,278
PCAWG-WGS,Breast-AdenoCA,genome,SP117618,0.957,213
PCAWG-WGS,Breast-AdenoCA,genome,SP117257,0.971,230
PCAWG-WGS,Breast-AdenoCA,genome,SP116963,0.966,317
PCAWG-WGS,Breast-AdenoCA,genome,SP117078,0.959,414
PCAWG-WGS,Breast-AdenoCA,genome,SP117944,0.969,179
PCAWG-WGS,Breast-AdenoCA,genome,SP117639,0.977,728
PCAWG-WGS,Breast-AdenoCA,genome,SP117834,0.941,416
PCAWG-WGS,Breast-AdenoCA,genome,SP117105,0.981,523
PCAWG-WGS,Breast-AdenoCA,genome,SP117785,0.982,318
PCAWG-WGS,Breast-AdenoCA,genome,SP117882,0.962,262
PCAWG-WGS,Breast-AdenoCA,genome,SP117778,0.963,320
PCAWG-WGS,Breast-AdenoCA,genome,SP117032,0.953,299
PCAWG-WGS,Breast-AdenoCA,genome,SP117710,0.98,262
PCAWG-WGS,Breast-AdenoCA,genome,SP117538,0.969,342
PCAWG-WGS,Breast-AdenoCA,genome,SP124207,0.974,340
PCAWG-WGS,Breast-AdenoCA,genome,SP117800,0.979,500
PCAWG-WGS,Breast-AdenoCA,genome,SP117724,0.962,508
PCAWG-WGS,Breast-AdenoCA,genome,SP124193,0.99,266
PCAWG-WGS,Breast-AdenoCA,genome,SP2293,0.998,517
PCAWG-WGS,Breast-AdenoCA,genome,SP2357,0.956,375
PCAWG-WGS,Breast-AdenoCA,genome,SP2144,0.979,260
PCAWG-WGS,Breast-AdenoCA,genome,SP2145,0.973,238
PCAWG-WGS,Breast-AdenoCA,genome,SP2147,0.974,373
PCAWG-WGS,Breast-AdenoCA,genome,SP2146,0.977,260
PCAWG-WGS,Breast-AdenoCA,genome,SP2148,0.993,242
PCAWG-WGS,Breast-AdenoCA,genome,SP2150,0.945,436
PCAWG-WGS,Breast-AdenoCA,genome,SP2152,0.972,323
PCAWG-WGS,Breast-AdenoCA,genome,SP2349,0.978,604
PCAWG-WGS,Breast-AdenoCA,genome,SP2155,0.976,234
PCAWG-WGS,Breast-AdenoCA,genome,SP2154,0.966,446
PCAWG-WGS,Breast-AdenoCA,genome,SP2158,0.958,694
PCAWG-WGS,Breast-AdenoCA,genome,SP2156,0.975,354
PCAWG-WGS,Breast-AdenoCA,genome,SP2159,0.997,322
PCAWG-WGS,Breast-AdenoCA,genome,SP2153,0.972,1004
PCAWG-WGS,Breast-AdenoCA,genome,SP2160,0.957,193
PCAWG-WGS,Breast-AdenoCA,genome,SP2151,0.983,146
PCAWG-WGS,Breast-AdenoCA,genome,SP116341,0.988,271
PCAWG-WGS,Breast-AdenoCA,genome,SP116331,0.978,425
PCAWG-WGS,Breast-AdenoCA,genome,SP116351,0.968,441
PCAWG-WGS,Breast-AdenoCA,genome,SP116371,0.98,246
PCAWG-WGS,Breast-AdenoCA,genome,SP116361,0.996,135
PCAWG-WGS,Breast-AdenoCA,genome,SP116343,0.975,700
PCAWG-WGS,Breast-AdenoCA,genome,SP116333,0.976,373
PCAWG-WGS,Breast-AdenoCA,genome,SP116373,0.965,413
PCAWG-WGS,Breast-AdenoCA,genome,SP116363,0.974,286
PCAWG-WGS,Breast-AdenoCA,genome,SP116353,0.98,976
PCAWG-WGS,Breast-AdenoCA,genome,SP116345,0.971,361
PCAWG-WGS,Breast-AdenoCA,genome,SP116365,0.991,288
PCAWG-WGS,Breast-AdenoCA,genome,SP116375,0.975,1107
PCAWG-WGS,Breast-AdenoCA,genome,SP116335,0.981,365
PCAWG-WGS,Breast-AdenoCA,genome,SP116355,0.971,353
PCAWG-WGS,Breast-AdenoCA,genome,SP116347,0.973,534
PCAWG-WGS,Breast-AdenoCA,genome,SP116367,0.985,725
PCAWG-WGS,Breast-AdenoCA,genome,SP116339,0.978,340
PCAWG-WGS,Breast-AdenoCA,genome,SP116349,0.965,356
PCAWG-WGS,Breast-AdenoCA,genome,SP116357,0.972,283
PCAWG-WGS,Breast-AdenoCA,genome,SP116359,0.988,395
PCAWG-WGS,Breast-AdenoCA,genome,SP116369,0.977,448
PCAWG-WGS,Breast-AdenoCA,genome,SP116377,0.983,698
PCAWG-WGS,Breast-AdenoCA,genome,SP116379,0.97,622
PCAWG-WGS,Breast-AdenoCA,genome,SP7692,0.996,1126
PCAWG-WGS,Breast-AdenoCA,genome,SP5052,0.932,635
PCAWG-WGS,Breast-AdenoCA,genome,SP7785,0.968,469
PCAWG-WGS,Breast-AdenoCA,genome,SP3415,0.985,349
PCAWG-WGS,Breast-AdenoCA,genome,SP2799,0.965,277
PCAWG-WGS,Breast-AdenoCA,genome,SP9979,0.977,287
PCAWG-WGS,Breast-AdenoCA,genome,SP5393,0.978,602
PCAWG-WGS,Breast-AdenoCA,genome,SP11292,0.982,233
PCAWG-WGS,Breast-AdenoCA,genome,SP13036,0.966,770
PCAWG-WGS,Breast-AdenoCA,genome,SP7421,0.978,611
PCAWG-WGS,Breast-AdenoCA,genome,SP4875,0.955,239
PCAWG-WGS,Breast-AdenoCA,genome,SP8795,0.979,626
PCAWG-WGS,Breast-AdenoCA,genome,SP4820,0.972,341
PCAWG-WGS,Breast-AdenoCA,genome,SP4593,0.957,339
PCAWG-WGS,Breast-AdenoCA,genome,SP8085,0.977,382
PCAWG-WGS,Breast-AdenoCA,genome,SP11235,0.98,358
PCAWG-WGS,Breast-AdenoCA,genome,SP6730,0.978,694
PCAWG-WGS,Breast-AdenoCA,genome,SP10635,0.953,298
PCAWG-WGS,Breast-AdenoCA,genome,SP5381,0.948,228
PCAWG-WGS,Breast-AdenoCA,genome,SP10084,0.969,554
PCAWG-WGS,Breast-AdenoCA,genome,SP9251,0.974,363
PCAWG-WGS,Breast-AdenoCA,genome,SP3016,0.981,470
PCAWG-WGS,Breast-AdenoCA,genome,SP11045,0.995,186
PCAWG-WGS,Breast-AdenoCA,genome,SP2826,0.97,350
PCAWG-WGS,Breast-AdenoCA,genome,SP11171,0.953,387
PCAWG-WGS,Breast-AdenoCA,genome,SP5784,0.94,394
PCAWG-WGS,Breast-AdenoCA,genome,SP8564,0.978,698
PCAWG-WGS,Breast-AdenoCA,genome,SP5844,0.989,1171
PCAWG-WGS,Breast-AdenoCA,genome,SP6519,0.96,384
PCAWG-WGS,Breast-AdenoCA,genome,SP6766,0.953,234
PCAWG-WGS,Breast-AdenoCA,genome,SP5448,0.987,568
PCAWG-WGS,Breast-AdenoCA,genome,SP12049,0.961,706
PCAWG-WGS,Breast-AdenoCA,genome,SP2714,0.98,447
PCAWG-WGS,Breast-AdenoCA,genome,SP2801,0.965,413
PCAWG-WGS,Breast-AdenoCA,genome,SP8891,0.982,266
PCAWG-WGS,Breast-AdenoCA,genome,SP9481,0.964,402
PCAWG-WGS,Breast-AdenoCA,genome,SP5808,0.965,587
PCAWG-WGS,Breast-AdenoCA,genome,SP6429,0.973,425
PCAWG-WGS,Breast-AdenoCA,genome,SP5017,0.972,454
PCAWG-WGS,Breast-AdenoCA,genome,SP8229,0.982,546
PCAWG-WGS,Breast-AdenoCA,genome,SP8157,0.975,417
PCAWG-WGS,Breast-AdenoCA,genome,SP5279,0.983,730
PCAWG-WGS,Breast-AdenoCA,genome,SP8660,0.975,386
PCAWG-WGS,Breast-AdenoCA,genome,SP11878,0.989,822
PCAWG-WGS,Breast-AdenoCA,genome,SP9433,0.998,580
PCAWG-WGS,Breast-AdenoCA,genome,SP2881,0.972,457
PCAWG-WGS,Breast-AdenoCA,genome,SP7378,0.973,307
PCAWG-WGS,Breast-AdenoCA,genome,SP9816,0.974,327
PCAWG-WGS,Breast-AdenoCA,genome,SP4265,0.979,388
PCAWG-WGS,Breast-AdenoCA,genome,SP2793,0.973,359
PCAWG-WGS,Breast-AdenoCA,genome,SP6825,0.987,1237
PCAWG-WGS,Breast-AdenoCA,genome,SP4523,0.982,354
PCAWG-WGS,Breast-AdenoCA,genome,SP9930,0.997,270
PCAWG-WGS,Breast-AdenoCA,genome,SP5820,0.98,813
PCAWG-WGS,Breast-AdenoCA,genome,SP10470,0.968,383
PCAWG-WGS,Breast-AdenoCA,genome,SP9648,0.961,482
PCAWG-WGS,Breast-AdenoCA,genome,SP4535,0.953,463
PCAWG-WGS,Breast-AdenoCA,genome,SP11808,0.972,695
PCAWG-WGS,Breast-AdenoCA,genome,SP96163,0.99,351
PCAWG-WGS,Breast-AdenoCA,genome,SP11948,0.974,446
PCAWG-WGS,Breast-AdenoCA,genome,SP4557,0.983,320
PCAWG-WGS,Breast-AdenoCA,genome,SP96147,0.978,435
PCAWG-WGS,Breast-AdenoCA,genome,SP10150,0.996,604
PCAWG-WGS,Breast-AdenoCA,genome,SP4472,0.987,250
PCAWG-WGS,Breast-AdenoCA,genome,SP6813,0.995,483
PCAWG-WGS,Breast-AdenoCA,genome,SP96511,0.983,549
PCAWG-WGS,Breast-AdenoCA,genome,SP5636,0.98,375
PCAWG-WGS,Breast-AdenoCA,genome,SP5559,0.991,433
PCAWG-WGS,Breast-AdenoCA,genome,SP3631,0.996,424
PCAWG-WGS,Breast-AdenoCA,genome,SP5473,0.98,549
PCAWG-WGS,Breast-AdenoCA,genome,SP8394,0.982,657
PCAWG-WGS,Breast-AdenoCA,genome,SP6115,0.969,286
PCAWG-WGS,Breast-AdenoCA,genome,SP7291,0.97,339
PCAWG-WGS,Breast-AdenoCA,genome,SP2997,0.943,346
PCAWG-WGS,Breast-AdenoCA,genome,SP8831,0.98,470
PCAWG-WGS,Breast-AdenoCA,genome,SP2731,0.975,256
PCAWG-WGS,Breast-AdenoCA,genome,SP6223,0.961,451
PCAWG-WGS,Breast-AdenoCA,genome,SP7171,0.954,338
PCAWG-WGS,Breast-AdenoCA,genome,SP10563,0.987,583
PCAWG-WGS,Breast-AdenoCA,genome,SP8987,0.982,479
PCAWG-WGS,Breast-AdenoCA,genome,SP5980,0.976,435
PCAWG-WGS,Breast-AdenoCA,genome,SP12186,0.994,709
PCAWG-WGS,Breast-AdenoCA,genome,SP10944,0.992,1029
PCAWG-WGS,Breast-AdenoCA,genome,SP2766,0.971,327
PCAWG-WGS,Breast-AdenoCA,genome,SP6673,0.965,244
PCAWG-WGS,Breast-DCIS,genome,SP117698,0.935,277
PCAWG-WGS,Breast-DCIS,genome,SP124201,0.913,187
PCAWG-WGS,Breast-DCIS,genome,SP2143,0.956,267
PCAWG-WGS,Breast-LobularCA,genome,SP124191,0.97,257
PCAWG-WGS,Breast-LobularCA,genome,SP117247,0.968,394
PCAWG-WGS,Breast-LobularCA,genome,SP117362,0.958,347
PCAWG-WGS,Breast-LobularCA,genome,SP117470,0.967,467
PCAWG-WGS,Breast-LobularCA,genome,SP117586,0.97,188
PCAWG-WGS,Breast-LobularCA,genome,SP117709,0.979,233
PCAWG-WGS,Breast-LobularCA,genome,SP2157,0.962,233
PCAWG-WGS,Breast-LobularCA,genome,SP3368,0.966,395
PCAWG-WGS,Breast-LobularCA,genome,SP5666,0.991,449
PCAWG-WGS,Breast-LobularCA,genome,SP2781,0.982,669
PCAWG-WGS,Breast-LobularCA,genome,SP8532,0.997,337
PCAWG-WGS,Breast-LobularCA,genome,SP12856,0.999,509
PCAWG-WGS,Breast-LobularCA,genome,SP7456,0.976,339
PCAWG-WGS,CNS-GBM,genome,SP24708,0.978,2611
PCAWG-WGS,CNS-GBM,genome,SP24301,0.98,2468
PCAWG-WGS,CNS-GBM,genome,SP27201,0.979,2647
PCAWG-WGS,CNS-GBM,genome,SP28791,0.969,543
PCAWG-WGS,CNS-GBM,genome,SP23739,0.965,1490
PCAWG-WGS,CNS-GBM,genome,SP24702,0.964,1712
PCAWG-WGS,CNS-GBM,genome,SP25332,0.966,438
PCAWG-WGS,CNS-GBM,genome,SP28335,0.969,1976
PCAWG-WGS,CNS-GBM,genome,SP26709,0.977,1079
PCAWG-WGS,CNS-GBM,genome,SP25350,0.977,2384
PCAWG-WGS,CNS-GBM,genome,SP25380,0.978,2452
PCAWG-WGS,CNS-GBM,genome,SP24565,0.976,1889
PCAWG-WGS,CNS-GBM,genome,SP25833,0.961,1356
PCAWG-WGS,CNS-GBM,genome,SP25905,0.968,1456
PCAWG-WGS,CNS-GBM,genome,SP26439,0.95,609
PCAWG-WGS,CNS-GBM,genome,SP24236,0.954,2964
PCAWG-WGS,CNS-GBM,genome,SP23925,0.891,735
PCAWG-WGS,CNS-GBM,genome,SP24815,0.965,2987
PCAWG-WGS,CNS-GBM,genome,SP27957,0.978,3133
PCAWG-WGS,CNS-GBM,genome,SP27603,0.977,2773
PCAWG-WGS,CNS-GBM,genome,SP27825,0.974,2481
PCAWG-WGS,CNS-GBM,genome,SP24135,0.977,2703
PCAWG-WGS,CNS-GBM,genome,SP26499,0.965,952
PCAWG-WGS,CNS-GBM,genome,SP25518,0.976,3286
PCAWG-WGS,CNS-GBM,genome,SP28659,0.97,3165
PCAWG-WGS,CNS-GBM,genome,SP23622,0.972,1560
PCAWG-WGS,CNS-GBM,genome,SP27939,0.977,2350
PCAWG-WGS,CNS-GBM,genome,SP23754,0.968,1052
PCAWG-WGS,CNS-GBM,genome,SP29697,0.974,1376
PCAWG-WGS,CNS-GBM,genome,SP27339,0.976,1852
PCAWG-WGS,CNS-GBM,genome,SP29559,0.951,442
PCAWG-WGS,CNS-GBM,genome,SP29331,0.981,2389
PCAWG-WGS,CNS-GBM,genome,SP26475,0.964,1305
PCAWG-WGS,CNS-GBM,genome,SP23775,0.933,2453
PCAWG-WGS,CNS-GBM,genome,SP28275,0.976,2101
PCAWG-WGS,CNS-GBM,genome,SP28581,0.969,2404
PCAWG-WGS,CNS-GBM,genome,SP23639,0.97,2305
PCAWG-WGS,CNS-GBM,genome,SP24391,0.978,2297
PCAWG-WGS,CNS-GBM,genome,SP28041,0.978,4345
PCAWG-WGS,CNS-GBM,genome,SP25494,0.988,1589
PCAWG-WGS,CNS-GBM,genome,SP26649,0.978,2121
PCAWG-WGS,CNS-Medullo,genome,SP78927,0.94,78
PCAWG-WGS,CNS-Medullo,genome,SP78913,0.916,185
PCAWG-WGS,CNS-Medullo,genome,SP107375,0.968,503
PCAWG-WGS,CNS-Medullo,genome,SP107408,0.977,835
PCAWG-WGS,CNS-Medullo,genome,SP107439,0.932,187
PCAWG-WGS,CNS-Medullo,genome,SP78816,0.919,84
PCAWG-WGS,CNS-Medullo,genome,SP78663,0.945,306
PCAWG-WGS,CNS-Medullo,genome,SP78709,0.944,272
PCAWG-WGS,CNS-Medullo,genome,SP107462,0.97,159
PCAWG-WGS,CNS-Medullo,genome,SP78951,0.951,184
PCAWG-WGS,CNS-Medullo,genome,SP107435,0.978,981
PCAWG-WGS,CNS-Medullo,genome,SP78679,0.977,318
PCAWG-WGS,CNS-Medullo,genome,SP107360,0.981,570
PCAWG-WGS,CNS-Medullo,genome,SP78819,0.916,40
PCAWG-WGS,CNS-Medullo,genome,SP78821,0.925,196
PCAWG-WGS,CNS-Medullo,genome,SP107552,0.956,126
PCAWG-WGS,CNS-Medullo,genome,SP78865,0.95,153
PCAWG-WGS,CNS-Medullo,genome,SP107470,0.953,199
PCAWG-WGS,CNS-Medullo,genome,SP78673,0.947,207
PCAWG-WGS,CNS-Medullo,genome,SP78824,0.929,82
PCAWG-WGS,CNS-Medullo,genome,SP107550,0.911,93
PCAWG-WGS,CNS-Medullo,genome,SP78718,0.978,222
PCAWG-WGS,CNS-Medullo,genome,SP107451,0.927,122
PCAWG-WGS,CNS-Medullo,genome,SP107557,0.902,94
PCAWG-WGS,CNS-Medullo,genome,SP107358,0.977,287
PCAWG-WGS,CNS-Medullo,genome,SP78731,0.927,132
PCAWG-WGS,CNS-Medullo,genome,SP107455,0.927,135
